order,group,lb,cap,lmax,dpm,method,nodes,seconds,witness
144,C2+C3+C3+C8,6,7,7,8,search,27884,0.01,"(0,0,0,1) (0,0,0,2) (0,0,0,4) (1,0,1,0) (1,1,0,0) (1,1,1,0) (1,1,2,0)"
144,C4+C4+C9,7,7,7,8,pinned,0,0.00,"(1,0,1) (2,0,2) (0,0,4) (0,0,8) (0,0,7) (0,1,0) (0,2,0)"
144,C3+C3+C4+C4,6,7,7,8,search,9178,0.01,"(0,0,0,1) (0,0,0,2) (0,0,1,0) (0,1,2,0) (1,0,2,0) (1,1,2,0) (1,2,2,0)"
144,C2+C2+C4+C9,7,7,7,8,pinned,0,0.00,"(0,0,1,1) (0,0,2,2) (0,0,0,4) (0,0,0,8) (0,0,0,7) (1,0,0,0) (0,1,0,0)"
144,C2+C2+C3+C3+C4,6,7,7,8,search,324266,0.08,"(0,0,0,0,1) (0,0,0,0,2) (0,1,0,0,0) (1,0,0,1,0) (1,0,1,0,0) (1,0,1,1,0) (1,0,1,2,0)"
144,C2+C2+C2+C2+C9,7,7,7,8,pinned,0,0.00,"(1,0,0,0,1) (0,0,0,0,2) (0,0,0,0,4) (0,0,0,0,8) (0,1,0,0,0) (0,0,1,0,0) (0,0,0,1,0)"
144,C2+C2+C2+C2+C3+C3,6,7,7,8,search,26448135,6.20,"(0,0,0,1,0,0) (0,0,1,0,0,0) (0,1,0,0,0,0) (1,0,0,0,0,1) (1,0,0,0,1,0) (1,0,0,0,1,1) (1,0,0,0,1,2)"
145,C5+C29,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (4,4) (3,8) (1,16) (2,3) (4,6)"
146,C2+C73,7,7,7,8,pinned,0,0.00,"(1,1) (0,2) (0,4) (0,8) (0,16) (0,32) (0,64)"
147,C3+C49,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (1,4) (2,8) (1,16) (2,32) (1,15)"
147,C3+C7+C7,6,7,7,8,search,14578247,3.78,"(1,0,1) (1,0,3) (1,1,0) (1,1,1) (1,2,4) (1,3,0) (1,5,5)"
148,C4+C37,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (0,4) (0,8) (0,16) (0,32) (0,27)"
148,C2+C2+C37,7,7,7,8,pinned,0,0.00,"(1,0,1) (0,0,2) (0,0,4) (0,0,8) (0,0,16) (0,0,32) (0,1,0)"
149,C149,7,7,7,8,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,)"
150,C2+C3+C25,7,7,7,8,pinned,0,0.00,"(1,1,1) (0,2,2) (0,1,4) (0,2,8) (0,1,16) (0,2,7) (0,1,14)"
150,C2+C3+C5+C5,6,7,7,8,search,16536877,4.42,"(0,1,0,1) (0,1,1,0) (0,1,1,1) (1,0,2,2) (1,1,0,2) (1,1,1,3) (1,1,2,0)"
151,C151,7,7,7,8,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,)"
152,C8+C19,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (4,4) (0,8) (0,16) (0,13) (0,7)"
152,C2+C4+C19,7,7,7,8,pinned,0,0.00,"(0,1,1) (0,2,2) (0,0,4) (0,0,8) (0,0,16) (0,0,13) (1,0,0)"
152,C2+C2+C2+C19,7,7,7,8,pinned,0,0.00,"(1,0,0,1) (0,0,0,2) (0,0,0,4) (0,0,0,8) (0,0,0,16) (0,1,0,0) (0,0,1,0)"
153,C9+C17,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (4,4) (8,8) (7,16) (5,15) (1,13)"
153,C3+C3+C17,6,7,7,8,search,2864,0.01,"(0,0,1) (0,0,2) (0,0,4) (0,1,3) (1,0,3) (1,1,14) (1,2,8)"
154,C2+C7+C11,7,7,7,8,pinned,0,0.00,"(1,1,1) (0,2,2) (0,4,4) (0,1,8) (0,2,5) (0,4,10) (0,1,9)"
155,C5+C31,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (4,4) (3,8) (1,16) (2,1) (4,2)"
156,C3+C4+C13,7,7,7,8,pinned,0,0.00,"(1,1,1) (2,2,2) (1,0,4) (2,0,8) (1,0,3) (2,0,6) (1,0,12)"
