order,primary,invariant,classes,L,DPM,control,expected_DPM,match,counts,witness,nodes,secs,note
64,2+2+4+4,2+2+4+4,39,6,7,,,,1:39;2:741;3:8808;4:67296;5:280584;6:413952,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,2,0) (0,0,0,1) (0,0,0,2)",3405561,0.28,
64,2+2+2+2+4,2+2+2+2+4,47,6,7,,,,1:47;2:1081;3:15820;4:156520;5:968016;6:2433536,"(1,0,0,0,0) (0,1,0,0,0) (0,0,1,0,0) (0,0,0,1,0) (0,0,0,0,1) (0,0,0,0,2)",19966320,1.51,
64,2+2+2+2+2+2,2+2+2+2+2+2,63,6,7,elem2,7,OK,1:63;2:1953;3:39060;4:546840;5:5249664;6:27998208,"(1,0,0,0,0,0) (0,1,0,0,0,0) (0,0,1,0,0,0) (0,0,0,1,0,0) (0,0,0,0,1,0) (0,0,0,0,0,1)",280311316,18.62,
65,5+13,65,32,6,7,,,,1:32;2:496;3:4640;4:23405;5:27036;6:4,"(1,1) (2,2) (1,3) (4,4) (2,5) (2,6)",280298,0.04,
66,2+3+11,66,33,6,7,,,,1:33;2:528;3:5125;4:27535;5:39054;6:96,"(1,0,0) (0,1,1) (0,2,2) (0,1,3) (0,1,4) (0,1,5)",370444,0.04,
67,67,67,33,6,7,cyclic,7,OK,1:33;2:528;3:5115;4:27027;5:33858;6:33,(1) (2) (4) (8) (16) (32),341818,0.04,
68,4+17,68,34,6,7,,,,1:34;2:561;3:5632;4:31648;5:51128;6:1312,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8)",483011,0.06,
68,2+2+17,2+34,35,6,7,,,,1:35;2:595;3:6192;4:37328;5:77768;6:3456,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4) (0,0,8)",687785,0.08,
69,3+23,69,34,6,7,,,,1:34;2:561;3:5621;4:31009;5:41393;6:66,"(0,1) (1,3) (2,5) (2,7) (2,9) (1,10)",411840,0.05,
70,2+5+7,70,35,6,7,,,,1:35;2:595;3:6171;4:36168;5:62612;6:618,"(1,0,0) (0,1,1) (0,2,1) (0,2,2) (0,4,2) (0,2,3)",589197,0.07,
71,71,71,35,6,7,cyclic,7,OK,1:35;2:595;3:6160;4:35525;5:53655;6:245,(1) (2) (4) (8) (16) (32),520157,0.07,
72,8+9,72,36,6,7,,,,1:36;2:630;3:6743;4:41083;5:75258;6:4340,"(1,0) (2,0) (4,0) (0,1) (0,2) (0,4)",711553,0.09,
72,2+4+9,2+36,37,6,7,,,,1:37;2:666;3:7372;4:47897;5:113668;6:14519,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4)",1053224,0.12,
72,2+2+2+9,2+2+18,39,6,7,,,,1:39;2:741;3:8737;4:63273;5:204288;6:48384,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1) (0,0,0,2) (0,0,0,4)",1899524,0.17,
72,3+3+8,3+24,36,6,7,,,,1:36;2:630;3:6742;4:40937;5:70611;6:738,"(0,0,1) (0,0,2) (1,0,4) (0,1,4) (1,1,4) (2,1,4)",607010,0.07,
72,2+3+3+4,6+12,37,6,7,,,,1:37;2:666;3:7371;4:47777;5:110026;6:3169,"(1,0,0,0) (0,0,0,1) (0,1,0,2) (0,0,1,2) (0,1,1,2) (0,2,1,2)",906522,0.10,
72,2+2+2+3+3,2+6+6,39,6,7,,,,1:39;2:741;3:8736;4:63217;5:202440;6:12096,"(1,0,0,0,0) (0,1,0,0,0) (0,0,1,1,0) (0,0,1,0,1) (0,0,1,1,1) (0,0,1,2,1)",1799794,0.15,
73,73,73,36,6,7,cyclic,7,OK,1:36;2:630;3:6732;4:40455;5:66528;6:522,(1) (2) (4) (8) (16) (32),636988,0.09,
74,2+37,74,37,6,7,,,,1:37;2:666;3:7350;4:46602;5:92934;6:2925,"(1,0) (0,1) (0,2) (0,4) (0,8) (0,16)",860960,0.12,
75,3+25,75,37,6,7,,,,1:37;2:666;3:7338;4:45830;5:80630;6:600,"(0,1) (1,1) (2,1) (1,3) (0,6) (0,12)",763665,0.12,
75,3+5+5,5+15,37,5,6,,,,1:37;2:666;3:7338;4:45855;5:85155,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2)",790585,0.10,
76,4+19,76,38,6,7,,,,1:38;2:703;3:7992;4:52596;5:113328;6:7935,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8)",1071458,0.14,
76,2+2+19,2+38,39,6,7,,,,1:39;2:741;3:8694;4:60678;5:160938;6:19611,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4) (0,0,8)",1502562,0.17,
77,7+11,77,38,6,7,,,,1:38;2:703;3:7980;4:51835;5:99366;6:1296,"(1,0) (1,1) (2,2) (5,3) (4,4) (3,5)",936085,0.13,
78,2+3+13,78,39,6,7,,,,1:39;2:741;3:8670;4:59106;5:132852;6:5664,"(1,0,0) (0,0,1) (0,1,1) (0,2,1) (0,1,3) (0,0,6)",1236512,0.15,
79,79,79,39,6,7,cyclic,7,OK,1:39;2:741;3:8658;4:58344;5:120510;6:2691,(1) (2) (4) (8) (16) (32),1137837,0.16,
80,5+16,80,40,6,7,,,,1:40;2:780;3:9386;4:66318;5:162460;6:19304,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8)",1430261,0.21,
80,2+5+8,2+40,41,6,7,,,,1:41;2:820;3:10165;4:75816;5:225412;6:65824,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4)",2063655,0.27,
80,4+4+5,4+20,41,6,7,,,,1:41;2:820;3:10165;4:75800;5:230052;6:99512,"(1,0,0) (2,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2)",2702588,0.30,
80,2+2+4+5,2+2+20,43,6,7,,,,1:43;2:903;3:11842;4:96980;5:376520;6:260744,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,2,0) (0,0,0,1) (0,0,0,2)",5006332,0.49,
80,2+2+2+2+5,2+2+2+10,47,6,7,,,,1:47;2:1081;3:15700;4:149100;5:789600;6:1088640,"(1,0,0,0,0) (0,1,0,0,0) (0,0,1,0,0) (0,0,0,1,0) (0,0,0,0,1) (0,0,0,0,2)",13953339,1.25,
81,81,81,40,6,7,cyclic,7,OK,1:40;2:780;3:9373;4:65391;5:141759;6:4257,(1) (2) (4) (8) (16) (32),1350502,0.19,
81,3+27,3+27,40,6,7,,,,1:40;2:780;3:9372;4:65214;5:132840;6:3348,"(0,1) (1,1) (2,1) (1,3) (0,6) (0,12)",1282025,0.17,
81,9+9,9+9,40,6,7,,,,1:40;2:780;3:9372;4:65223;5:130248;6:9774,"(1,0) (2,0) (4,0) (0,1) (0,2) (0,4)",1289117,0.17,
81,3+3+9,3+3+9,40,5,6,,,,1:40;2:780;3:9369;4:64692;5:103518,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4)",1063820,0.11,
81,3+3+3+3,3+3+3+3,40,4,5,elem3,5,OK,1:40;2:780;3:9360;4:63180,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1)",546632,0.04,
82,2+41,82,41,6,7,,,,1:41;2:820;3:10140;4:74100;5:190684;6:14980,"(1,0) (0,1) (0,2) (0,4) (0,8) (0,16)",1818474,0.24,
