solution 21: n=35 disc=1  triangles=[(0, 1, 5), (3, 4, 14), (3, 13, 2), (3, 13, 14), (6, 7, 8), (6, 13, 2), (6, 13, 11), (6, 16, 2), (6, 16, 8), (9, 10, 17), (9, 16, 8), (9, 16, 17), (12, 10, 11), (12, 10, 17), (12, 13, 11), (15, 1, 2), (15, 1, 5), (15, 4, 5), (15, 4, 14), (15, 16, 2)]  empty=[(0, 1, 5), (3, 4, 14), (6, 7, 8), (9, 10, 17), (12, 13, 11), (15, 16, 2)]
solution 22: n=35 disc=1  triangles=[(0, 1, 11), (0, 10, 5), (0, 10, 11), (3, 1, 2), (3, 1, 11), (3, 4, 11), (6, 7, 17), (6, 16, 11), (6, 16, 17), (9, 4, 5), (9, 4, 11), (9, 10, 5), (9, 16, 8), (9, 16, 11), (12, 7, 8), (12, 7, 17), (12, 13, 8), (15, 13, 8), (15, 13, 14), (15, 16, 8)]  empty=[(0, 10, 5), (3, 1, 2), (6, 16, 17), (9, 4, 11), (12, 7, 8), (15, 13, 14)]
solution 23: n=35 disc=1  triangles=[(0, 1, 11), (0, 10, 5), (0, 10, 11), (3, 1, 2), (3, 1, 11), (3, 4, 11), (6, 7, 17), (6, 16, 11), (6, 16, 17), (9, 4, 5), (9, 4, 11), (9, 10, 5), (9, 16, 8), (9, 16, 11), (12, 7, 8), (12, 7, 17), (12, 13, 8), (15, 13, 8), (15, 13, 14), (15, 16, 8)]  empty=[(0, 10, 11), (3, 1, 2), (6, 16, 17), (9, 4, 5), (12, 7, 8), (15, 13, 14)]
solution 24: n=35 disc=1  triangles=[(0, 1, 2), (0, 10, 2), (0, 10, 5), (3, 4, 11), (3, 10, 2), (3, 10, 11), (6, 7, 17), (6, 16, 11), (6, 16, 17), (9, 4, 5), (9, 4, 11), (9, 10, 5), (9, 16, 8), (9, 16, 11), (12, 7, 8), (12, 7, 17), (12, 13, 8), (15, 13, 8), (15, 13, 14), (15, 16, 8)]  empty=[(0, 1, 2), (3, 10, 11), (6, 16, 17), (9, 4, 5), (12, 7, 8), (15, 13, 14)]
solution 25: n=35 disc=1  triangles=[(0, 1, 2), (0, 10, 2), (0, 10, 5), (3, 4, 11), (3, 10, 2), (3, 10, 11), (6, 7, 17), (6, 16, 11), (6, 16, 17), (9, 4, 5), (9, 4, 11), (9, 10, 5), (9, 16, 8), (9, 16, 11), (12, 7, 8), (12, 7, 17), (12, 13, 8), (15, 13, 8), (15, 13, 14), (15, 16, 8)]  empty=[(0, 1, 2), (3, 4, 11), (6, 16, 17), (9, 10, 5), (12, 7, 8), (15, 13, 14)]
solution 26: n=35 disc=1  triangles=[(0, 1, 17), (0, 16, 5), (0, 16, 17), (3, 4, 5), (3, 16, 2), (3, 16, 5), (6, 7, 2), (6, 16, 2), (6, 16, 11), (9, 10, 11), (9, 16, 8), (9, 16, 11), (12, 1, 2), (12, 1, 17), (12, 7, 2), (12, 7, 14), (12, 13, 14), (15, 7, 8), (15, 7, 14), (15, 16, 8)]  empty=[(0, 1, 17), (3, 4, 5), (6, 7, 2), (9, 10, 11), (12, 13, 14), (15, 16, 8)]
solution 27: n=35 disc=1  triangles=[(0, 1, 17), (0, 16, 5), (0, 16, 17), (3, 4, 5), (3, 16, 2), (3, 16, 5), (6, 7, 2), (6, 16, 2), (6, 16, 11), (9, 10, 11), (9, 16, 8), (9, 16, 11), (12, 1, 2), (12, 1, 17), (12, 7, 2), (12, 7, 14), (12, 13, 14), (15, 7, 8), (15, 7, 14), (15, 16, 8)]  empty=[(0, 1, 17), (3, 4, 5), (6, 16, 2), (9, 10, 11), (12, 13, 14), (15, 7, 8)]
solution 28: n=35 disc=1  triangles=[(0, 1, 17), (0, 16, 5), (0, 16, 17), (3, 4, 2), (6, 4, 2), (6, 4, 5), (6, 7, 2), (6, 16, 5), (6, 16, 11), (9, 10, 11), (9, 16, 8), (9, 16, 11), (12, 1, 2), (12, 1, 17), (12, 7, 2), (12, 7, 14), (12, 13, 14), (15, 7, 8), (15, 7, 14), (15, 16, 8)]  empty=[(0, 1, 17), (3, 4, 2), (6, 16, 5), (9, 10, 11), (12, 13, 14), (15, 7, 8)]
solution 29: n=35 disc=1  triangles=[(0, 1, 17), (0, 16, 5), (0, 16, 17), (3, 4, 2), (6, 4, 2), (6, 4, 5), (6, 7, 2), (6, 16, 5), (6, 16, 11), (9, 10, 11), (9, 16, 8), (9, 16, 11), (12, 1, 2), (12, 1, 17), (12, 7, 2), (12, 7, 8), (12, 13, 8), (15, 13, 8), (15, 13, 14), (15, 16, 8)]  empty=[(0, 1, 17), (3, 4, 2), (6, 16, 5), (9, 10, 11), (12, 7, 8), (15, 13, 14)]
solution 30: n=35 disc=1  triangles=[(0, 1, 14), (0, 4, 5), (0, 4, 14), (3, 1, 2), (3, 1, 14), (3, 4, 17), (3, 16, 14), (3, 16, 17), (6, 4, 14), (6, 4, 17), (6, 7, 17), (6, 13, 11), (6, 13, 14), (9, 10, 11), (9, 13, 8), (9, 13, 11), (12, 7, 8), (12, 7, 17), (12, 13, 8), (15, 16, 14)]  empty=[(0, 4, 5), (3, 1, 2), (6, 7, 17), (9, 10, 11), (12, 13, 8), (15, 16, 14)]
solution 31: n=35 disc=1  triangles=[(0, 1, 17), (0, 4, 5), (0, 4, 17), (3, 1, 2), (3, 1, 17), (3, 4, 14), (3, 16, 14), (3, 16, 17), (6, 4, 14), (6, 4, 17), (6, 7, 17), (6, 13, 11), (6, 13, 14), (9, 10, 11), (9, 13, 8), (9, 13, 11), (12, 7, 8), (12, 7, 17), (12, 13, 8), (15, 16, 14)]  empty=[(0, 4, 5), (3, 1, 2), (6, 7, 17), (9, 10, 11), (12, 13, 8), (15, 16, 14)]
solution 32: n=35 disc=1  triangles=[(0, 1, 5), (3, 4, 2), (6, 4, 2), (6, 4, 11), (6, 7, 17), (6, 16, 2), (6, 16, 17), (9, 4, 5), (9, 4, 11), (9, 10, 11), (9, 13, 5), (9, 13, 8), (12, 7, 8), (12, 7, 17), (12, 13, 8), (15, 1, 2), (15, 1, 5), (15, 13, 5), (15, 13, 14), (15, 16, 2)]  empty=[(0, 1, 5), (3, 4, 2), (6, 16, 17), (9, 10, 11), (12, 7, 8), (15, 13, 14)]
solution 33: n=35 disc=1  triangles=[(0, 1, 5), (3, 4, 2), (6, 4, 2), (6, 4, 11), (6, 7, 17), (6, 16, 2), (6, 16, 17), (9, 1, 5), (9, 1, 8), (9, 4, 5), (9, 4, 11), (9, 10, 11), (12, 7, 8), (12, 7, 17), (12, 13, 8), (15, 1, 2), (15, 1, 8), (15, 13, 8), (15, 13, 14), (15, 16, 2)]  empty=[(0, 1, 5), (3, 4, 2), (6, 16, 17), (9, 10, 11), (12, 7, 8), (15, 13, 14)]
solution 34: n=35 disc=1  triangles=[(0, 1, 5), (3, 4, 2), (6, 1, 5), (6, 1, 14), (6, 7, 5), (6, 13, 11), (6, 13, 14), (9, 1, 2), (9, 1, 14), (9, 4, 2), (9, 4, 5), (9, 7, 5), (9, 7, 8), (9, 10, 14), (12, 10, 11), (12, 10, 17), (12, 13, 11), (15, 10, 14), (15, 10, 17), (15, 16, 17)]  empty=[(0, 1, 5), (3, 4, 2), (6, 13, 14), (9, 7, 8), (12, 10, 11), (15, 16, 17)]
solution 35: n=35 disc=1  triangles=[(0, 1, 5), (3, 4, 2), (6, 1, 5), (6, 1, 14), (6, 7, 5), (6, 13, 11), (6, 13, 14), (9, 1, 2), (9, 1, 17), (9, 4, 2), (9, 4, 5), (9, 7, 5), (9, 7, 8), (9, 10, 17), (12, 10, 11), (12, 10, 17), (12, 13, 11), (15, 1, 14), (15, 1, 17), (15, 16, 17)]  empty=[(0, 1, 5), (3, 4, 2), (6, 13, 14), (9, 7, 8), (12, 10, 11), (15, 16, 17)]
solution 36: n=35 disc=1  triangles=[(0, 1, 5), (3, 4, 2), (6, 1, 5), (6, 1, 14), (6, 4, 2), (6, 4, 5), (6, 7, 2), (6, 13, 11), (6, 13, 14), (9, 1, 2), (9, 1, 17), (9, 7, 2), (9, 7, 8), (9, 10, 17), (12, 10, 11), (12, 10, 17), (12, 13, 11), (15, 1, 14), (15, 1, 17), (15, 16, 17)]  empty=[(0, 1, 5), (3, 4, 2), (6, 13, 14), (9, 7, 8), (12, 10, 11), (15, 16, 17)]
solution 37: n=35 disc=1  triangles=[(0, 1, 14), (0, 4, 5), (0, 4, 17), (0, 13, 14), (0, 13, 17), (3, 4, 17), (3, 10, 2), (3, 10, 11), (3, 16, 11), (3, 16, 17), (6, 7, 8), (6, 16, 8), (6, 16, 11), (9, 10, 2), (9, 16, 2), (9, 16, 8), (12, 13, 17), (15, 1, 2), (15, 1, 14), (15, 16, 2)]  empty=[(0, 4, 5), (3, 16, 11), (6, 7, 8), (9, 10, 2), (12, 13, 17), (15, 1, 14)]
solution 38: n=35 disc=1  triangles=[(0, 1, 14), (0, 4, 5), (0, 4, 17), (0, 13, 14), (0, 13, 17), (3, 4, 17), (3, 10, 2), (3, 10, 11), (3, 16, 11), (3, 16, 17), (6, 7, 8), (6, 16, 8), (6, 16, 11), (9, 10, 2), (9, 16, 2), (9, 16, 8), (12, 13, 17), (15, 1, 2), (15, 1, 14), (15, 16, 2)]  empty=[(0, 4, 5), (3, 10, 11), (6, 7, 8), (9, 16, 2), (12, 13, 17), (15, 1, 14)]
