disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 13 9 2 | 0 1 9 7 3 | 0 2 7 5 4 | 0 3 5 | 0 4 3 7 6 | 0 5 7 | 0 6 5 3 2 9 8 | 0 7 9 | 0 8 7 2 1 13 12 11 10 | 0 9 11 | 0 10 9 12 | 0 11 9 13 | 0 12 9 1 14 | 0 13 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 8 3 2 | 0 1 3 | 0 2 1 8 7 5 4 | 0 3 5 | 0 4 3 7 6 | 0 5 7 | 0 6 5 3 8 | 0 7 3 1 14 12 11 9 | 0 8 11 10 | 0 9 11 | 0 10 9 8 12 | 0 11 8 14 13 | 0 12 14 | 0 13 12 8 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 13 8 2 | 0 1 8 4 3 | 0 2 4 | 0 3 2 8 7 6 5 | 0 4 6 | 0 5 4 7 | 0 6 4 8 | 0 7 4 2 1 13 12 10 9 | 0 8 10 | 0 9 8 12 11 | 0 10 12 | 0 11 10 8 13 | 0 12 8 1 14 | 0 13 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 8 3 2 | 0 1 3 | 0 2 1 8 7 5 4 | 0 3 5 | 0 4 3 7 6 | 0 5 7 | 0 6 5 3 8 | 0 7 3 1 14 13 12 10 9 | 0 8 10 | 0 9 8 12 11 | 0 10 12 | 0 11 10 8 13 | 0 12 8 14 | 0 13 8 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 8 3 2 | 0 1 3 | 0 2 1 8 7 5 4 | 0 3 5 | 0 4 3 7 6 | 0 5 7 | 0 6 5 3 8 | 0 7 3 1 14 12 11 10 9 | 0 8 10 | 0 9 8 11 | 0 10 8 12 | 0 11 8 14 13 | 0 12 14 | 0 13 12 8 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 6 5 3 2 | 0 1 3 | 0 2 1 5 4 | 0 3 5 | 0 4 3 1 6 | 0 5 1 14 13 11 10 8 7 | 0 6 8 | 0 7 6 10 9 | 0 8 10 | 0 9 8 6 11 | 0 10 6 13 12 | 0 11 13 | 0 12 11 6 14 | 0 13 6 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 13 8 2 | 0 1 8 4 3 | 0 2 4 | 0 3 2 8 7 5 | 0 4 7 6 | 0 5 7 | 0 6 5 4 8 | 0 7 4 2 1 13 12 10 9 | 0 8 10 | 0 9 8 12 11 | 0 10 12 | 0 11 10 8 13 | 0 12 8 1 14 | 0 13 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 4 3 2 | 0 1 3 | 0 2 1 4 | 0 3 1 14 12 11 9 8 6 5 | 0 4 6 | 0 5 4 8 7 | 0 6 8 | 0 7 6 4 9 | 0 8 4 11 10 | 0 9 11 | 0 10 9 4 12 | 0 11 4 14 13 | 0 12 14 | 0 13 12 4 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 13 6 2 | 0 1 6 4 3 | 0 2 4 | 0 3 2 6 5 | 0 4 6 | 0 5 4 2 1 13 12 10 9 8 7 | 0 6 8 | 0 7 6 9 | 0 8 6 10 | 0 9 6 12 11 | 0 10 12 | 0 11 10 6 13 | 0 12 6 1 14 | 0 13 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 5 3 2 | 0 1 3 | 0 2 1 5 4 | 0 3 5 | 0 4 3 1 14 13 12 10 9 7 6 | 0 5 7 | 0 6 5 9 8 | 0 7 9 | 0 8 7 5 10 | 0 9 5 12 11 | 0 10 12 | 0 11 10 5 13 | 0 12 5 14 | 0 13 5 1
