x,Lx,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,U2,U4,U6,U8,U10,U12,U14,U16,U18,U20,U22,U24,U26,U28,U30,U32,T012,T024,T013,Q0123,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254,c255
506500000,-15018,1202,35610,35302,-16058,-2478,-5114,-20532,-2130,15852,3254,12112,17552,-19736,33458,38886,-10226,-21414,-7222,-8306,-13166,37602,13160,24118,24626,30204,-22370,-32980,10242,-47252,-1432,-15220,-25676,24934,-11086,-23946,-148,1718,19192,20084,-7824,-28064,-10240,-4740,12558,-9696,-14146,-19400,-17776,22362,-19050,5310,-19774,1980389,1978927,1977478,1978628,1976951,1979422,1979182,1978108,1977349,1977591,1978984,1980410,1979093,1980837,1978466,1979842,1979971,1977516,1979962,1976987,1977473,1978295,1975845,1980074,1977597,1978269,1979257,1979796,1979358,1976295,1978306,1977757,1978473,1981222,1977366,1978129,1978456,1979766,1976778,1977209,1976422,1979042,1978616,1978255,1975881,1978317,1979843,1981226,1977150,1976772,1978452,1977401,1979022,1978021,1978260,1980078,1977807,1978128,1976761,1977338,1977981,1978166,1978840,1978199,1977817,1979484,1979199,1983430,1980178,1975934,1979117,1975448,1977095,1978299,1978169,1979501,1977998,1977183,1976770,1979267,1978417,1975574,1977298,1978949,1977185,1980568,1977872,1979704,1979961,1976305,1978372,1977797,1979369,1980096,1979306,1980316,1979165,1977776,1977560,1976631,1976059,1980378,1975993,1976399,1981019,1977412,1978125,1980713,1977954,1981508,1979635,1978442,1978704,1977061,1979597,1978310,1979742,1977394,1978343,1980427,1978052,1979249,1977375,1978009,1979839,1977478,1979304,1979068,1978927,1977179,1978895,1978662,1977989,1979972,1980748,1980200,1980138,1979358,1976784,1975509,1976773,1978216,1977187,1976221,1979724,1977979,1978260,1977000,1977991,1978576,1978353,1980994,1976325,1977584,1977786,1978542,1976577,1977804,1977841,1979282,1978828,1981407,1978746,1976436,1976938,1977904,1978403,1978828,1977569,1977205,1979137,1979321,1980385,1977852,1979622,1978396,1979791,1977419,1977985,1974991,1979409,1980817,1981202,1977999,1977958,1979779,1980375,1981432,1979320,1977218,1978477,1980173,1978289,1978073,1978762,1977518,1979318,1976359,1975872,1977960,1980608,1976961,1978398,1979846,1975911,1979145,1977611,1977856,1981818,1979608,1977544,1978282,1977589,1977890,1980366,1978314,1977249,1976671,1981854,1981404,1978368,1981711,1977232,1978334,1977197,1978504,1978117,1977201,1981510,1977866,1979063,1979068,1980407,1978414,1977354,1977967,1975966,1981750,1980444,1977124,1976997,1978257,1979779,1979821,1979079,1977927,1979373,1977141,1977202,1980351,1979631,1978505,1977714,1980658,1979068,1980635
507000000,-14466,466,35688,35644,-16796,-2688,-6664,-21218,-2792,16108,3440,12024,17176,-19958,33408,38420,-9192,-20702,-6740,-7866,-13596,38564,11198,24638,24528,30210,-21582,-32502,10938,-47520,-2336,-14436,-26046,25598,-11450,-24634,-144,2204,18484,19978,-7218,-27668,-9938,-6106,11950,-9096,-13184,-19954,-17954,21884,-20418,6496,-19474,1982387,1980872,1979449,1980552,1978945,1981402,1981030,1980124,1979325,1979534,1980970,1982393,1980994,1982787,1980469,1981788,1981847,1979511,1981897,1978905,1979407,1980246,1977789,1982030,1979558,1980243,1981230,1981675,1981333,1978243,1980246,1979707,1980394,1983146,1979263,1980188,1980446,1981773,1978700,1979220,1978359,1980978,1980565,1980185,1977786,1980316,1981847,1983238,1979093,1978742,1980425,1979375,1980948,1979954,1980196,1981968,1979784,1980122,1978674,1979361,1979922,1980090,1980734,1980204,1979748,1981426,1981183,1985420,1982078,1977805,1981139,1977423,1979036,1980321,1980116,1981595,1979928,1979081,1978784,1981258,1980432,1977435,1979237,1980927,1979162,1982597,1979816,1981626,1981869,1978272,1980377,1979746,1981370,1982069,1981263,1982263,1981150,1979667,1979511,1978546,1978114,1982319,1977934,1978357,1982978,1979368,1980080,1982690,1979885,1983414,1981531,1980368,1980730,1978967,1981602,1980222,1981715,1979340,1980369,1982348,1979954,1981220,1979361,1979907,1981750,1979414,1981249,1981022,1980872,1979129,1980898,1980602,1979914,1981961,1982751,1982133,1982033,1981268,1978683,1977426,1978807,1980118,1979107,1978165,1981693,1979940,1980322,1979015,1979930,1980503,1980313,1983055,1978277,1979557,1979672,1980489,1978573,1979792,1979766,1981231,1980780,1983457,1980620,1978374,1978911,1979938,1980309,1980822,1979508,1979186,1981194,1981257,1982355,1979807,1981592,1980288,1981724,1979315,1980008,1976916,1981398,1982816,1983103,1979931,1979913,1981702,1982381,1983356,1981252,1979178,1980430,1982067,1980253,1980074,1980692,1979464,1981223,1978304,1977786,1979849,1982597,1979016,1980317,1981773,1977906,1981080,1979581,1979739,1983805,1981559,1979612,1980204,1979532,1979854,1982347,1980254,1979170,1978652,1983837,1983288,1980245,1983668,1979167,1980234,1979177,1980489,1980016,1979089,1983499,1979771,1981052,1980963,1982386,1980448,1979306,1979911,1977937,1983711,1982382,1979033,1978936,1980138,1981668,1981793,1981119,1979877,1981279,1979067,1979120,1982241,1981635,1980439,1979611,1982660,1981022,1982492
507500000,-13616,1356,37078,34000,-17106,-2066,-6718,-21552,-1736,14704,3584,12518,16788,-20228,33316,38010,-9640,-19584,-5236,-6774,-14040,38050,11080,24552,24450,30622,-20632,-34090,10756,-48238,-2832,-14462,-27120,26708,-11674,-24894,140,2132,18394,19862,-7528,-26400,-10362,-6404,11828,-8388,-13258,-20240,-18506,21526,-20176,5800,-19446,1984422,1982863,1981441,1982539,1980888,1983458,1982955,1982105,1981308,1981463,1983012,1984356,1982951,1984742,1982475,1983718,1983838,1981452,1983844,1980847,1981388,1982295,1979700,1984016,1981517,1982186,1983237,1983584,1983338,1980181,1982283,1981658,1982353,1985103,1981190,1982196,1982403,1983719,1980644,1981142,1980343,1982935,1982548,1982219,1979731,1982220,1983833,1985169,1981031,1980717,1982314,1981304,1982852,1981950,1982121,1983861,1981809,1982095,1980583,1981270,1981927,1982048,1982678,1982166,1981724,1983399,1983102,1987433,1984054,1979698,1983084,1979398,1980990,1982239,1982080,1983520,1981848,1981006,1980753,1983150,1982444,1979386,1981206,1982898,1981145,1984573,1981701,1983708,1983831,1980180,1982295,1981650,1983413,1984024,1983186,1984284,1983117,1981631,1981465,1980519,1980017,1984246,1979839,1980267,1984902,1981237,1982054,1984659,1981811,1985315,1983416,1982276,1982701,1980972,1983631,1982183,1983558,1981294,1982321,1984253,1981926,1983187,1981327,1981870,1983738,1981382,1983169,1982975,1982863,1981117,1982905,1982521,1981883,1983910,1984738,1984088,1983982,1983228,1980671,1979360,1980752,1982079,1981044,1980223,1983618,1981934,1982278,1980939,1981890,1982472,1982251,1984986,1980230,1981432,1981565,1982398,1980566,1981672,1981692,1983186,1982770,1985432,1982562,1980286,1980826,1981881,1982210,1982761,1981487,1981169,1983170,1983190,1984280,1981725,1983604,1982301,1983717,1981267,1981949,1978802,1983287,1984763,1985005,1981831,1981864,1983719,1984269,1985304,1983186,1981149,1982442,1983978,1982256,1982027,1982691,1981393,1983156,1980333,1979747,1981869,1984562,1980978,1982282,1983717,1979814,1982957,1981485,1981728,1985758,1983462,1981501,1982073,1981511,1981787,1984305,1982197,1981153,1980571,1985755,1985186,1982170,1985549,1981149,1982136,1981166,1982453,1982024,1981097,1985523,1981753,1982932,1982946,1984318,1982337,1981244,1981843,1979913,1985626,1984303,1981009,1980918,1982149,1983645,1983695,1983097,1981793,1983218,1981059,1981141,1984153,1983563,1982407,1981556,1984588,1982975,1984445
508000000,-12878,2030,36514,34060,-17710,-1592,-6178,-21516,-1006,14526,4028,12004,16816,-20478,32746,38668,-10242,-19532,-5232,-6964,-15140,38716,12534,23894,24964,30556,-20416,-34998,10810,-47952,-2594,-14484,-25698,26206,-11936,-24798,-44,1376,18468,19798,-8048,-26458,-11846,-5578,12694,-8806,-12980,-20134,-17552,21806,-21850,6944,-18476,1986402,1984864,1983373,1984564,1982827,1985436,1984964,1984113,1983201,1983498,1985022,1986253,1984945,1986781,1984454,1985692,1985771,1983336,1985825,1982840,1983341,1984219,1981613,1985888,1983545,1984116,1985202,1985591,1985316,1982092,1984248,1983636,1984328,1987036,1983072,1984089,1984364,1985729,1982613,1983151,1982250,1984920,1984500,1984161,1981672,1984149,1985797,1987086,1983084,1982656,1984344,1983261,1984873,1983917,1984041,1985817,1983833,1984064,1982486,1983245,1983914,1983933,1984619,1984096,1983714,1985387,1985109,1989347,1985943,1981521,1985025,1981313,1982941,1984229,1984027,1985543,1983867,1982936,1982760,1985063,1984430,1981266,1983179,1984848,1983099,1986512,1983625,1985661,1985731,1982123,1984222,1983577,1985377,1986014,1985164,1986169,1985136,1983607,1983394,1982446,1981927,1986263,1981807,1982201,1986906,1983224,1983964,1986605,1983739,1987257,1985339,1984229,1984714,1982977,1985610,1984100,1985446,1983253,1984274,1986249,1983871,1985170,1983252,1983781,1985645,1983379,1985106,1984900,1984864,1983073,1984890,1984513,1983872,1985839,1986762,1986033,1985906,1985167,1982538,1981248,1982716,1984012,1982954,1982192,1985593,1983825,1984268,1982924,1983829,1984442,1984208,1986995,1982195,1983489,1983588,1984267,1982581,1983639,1983599,1985079,1984773,1987420,1984392,1982249,1982806,1983841,1984190,1984672,1983446,1983107,1985111,1985124,1986182,1983650,1985594,1984247,1985659,1983184,1983846,1980747,1985257,1986652,1986955,1983751,1983858,1985646,1986213,1987278,1985127,1983100,1984405,1985910,1984223,1984016,1984602,1983448,1985130,1982265,1981703,1983833,1986477,1982963,1984244,1985660,1981817,1984919,1983460,1983615,1987763,1985375,1983468,1984014,1983454,1983723,1986208,1984180,1983112,1982470,1987687,1987129,1984127,1987477,1983063,1984146,1983103,1984443,1984001,1983090,1987513,1983641,1984929,1984874,1986232,1984258,1983213,1983783,1981843,1987559,1986265,1982980,1982832,1984114,1985544,1985703,1985044,1983743,1985128,1982996,1983075,1986077,1985535,1984343,1983507,1986499,1984900,1986409
508500000,-12702,1200,36126,34380,-17874,-1644,-7022,-20900,-1028,13894,3886,10268,17200,-20416,32264,38596,-9848,-19486,-6098,-6694,-15456,38502,12794,23220,24892,29728,-18964,-34446,11118,-47748,-2792,-13560,-25060,26604,-12014,-24328,-22,1268,18978,19206,-7330,-27356,-11552,-5510,12116,-7896,-13566,-20436,-17312,22040,-22070,6586,-17294,1988296,1986835,1985316,1986528,1984756,1987383,1986948,1986048,1985149,1985427,1987024,1988180,1986910,1988754,1986412,1987649,1987724,1985252,1987753,1984773,1985290,1986200,1983582,1987833,1985453,1986101,1987131,1987563,1987315,1984016,1986149,1985559,1986268,1989008,1985017,1986018,1986339,1987641,1984593,1985076,1984211,1986849,1986463,1986176,1983632,1986149,1987760,1989015,1985043,1984573,1986308,1985293,1986824,1985902,1985978,1987794,1985805,1986020,1984379,1985194,1985827,1985884,1986588,1986015,1985634,1987324,1987071,1991293,1987878,1983484,1986971,1983230,1984930,1986217,1986001,1987493,1985857,1984866,1984675,1986986,1986368,1983186,1985200,1986756,1985050,1988579,1985656,1987581,1987714,1984087,1986221,1985557,1987284,1987967,1987178,1988080,1987163,1985563,1985315,1984399,1983845,1988287,1983800,1984201,1988862,1985175,1985946,1988557,1985763,1989180,1987300,1986149,1986672,1984839,1987553,1986115,1987365,1985164,1986243,1988206,1985810,1987077,1985242,1985769,1987602,1985267,1987013,1986884,1986835,1985009,1986823,1986468,1985820,1987821,1988716,1988013,1987827,1987099,1984466,1983235,1984644,1985940,1984919,1984059,1987552,1985783,1986227,1984896,1985770,1986439,1986199,1988942,1984163,1985500,1985595,1986209,1984510,1985557,1985562,1987044,1986690,1989356,1986345,1984183,1984808,1985853,1986130,1986585,1985342,1985107,1987166,1987061,1988169,1985629,1987491,1986243,1987683,1985141,1985824,1982708,1987213,1988601,1988965,1985655,1985706,1987648,1988150,1989255,1987060,1985127,1986281,1987882,1986210,1985967,1986570,1985436,1987048,1984217,1983613,1985748,1988405,1984906,1986208,1987648,1983806,1986938,1985392,1985620,1989678,1987342,1985461,1985959,1985399,1985648,1988143,1986153,1985110,1984445,1989593,1989063,1986070,1989438,1985009,1986083,1985014,1986443,1985950,1984962,1989466,1985569,1986944,1986811,1988158,1986245,1985101,1985739,1983792,1989476,1988208,1984943,1984785,1986073,1987482,1987640,1987038,1985676,1987025,1984945,1985048,1988045,1987472,1986201,1985491,1988406,1986884,1988292
509000000,-13056,1432,35598,34888,-16886,-1750,-7840,-20728,-764,13964,5520,10250,17596,-21862,31552,37810,-9646,-18412,-6738,-5972,-14862,37810,13412,23774,23044,30626,-19172,-35066,11612,-47418,-1636,-14034,-25066,26784,-11374,-24454,934,2254,19456,18954,-7460,-27146,-10980,-4524,11502,-7156,-13398,-19136,-16946,22270,-23700,7052,-19250,1990130,1988725,1987251,1988470,1986724,1989251,1988925,1988013,1987154,1987431,1988917,1990145,1988936,1990697,1988365,1989587,1989694,1987233,1989743,1986748,1987187,1988131,1985559,1989761,1987430,1988103,1989087,1989485,1989223,1985953,1988105,1987534,1988232,1991023,1986995,1987986,1988374,1989592,1986573,1987059,1986100,1988744,1988368,1988164,1985516,1988122,1989687,1990967,1986993,1986503,1988273,1987294,1988803,1987769,1987917,1989807,1987756,1987904,1986315,1987192,1987774,1987846,1988572,1987915,1987591,1989308,1989108,1993268,1989811,1985425,1988900,1985184,1986950,1988226,1987918,1989443,1987794,1986808,1986624,1988897,1988315,1985052,1987116,1988657,1986980,1990516,1987573,1989582,1989662,1985997,1988155,1987486,1989255,1989932,1989107,1990035,1989113,1987530,1987249,1986341,1985852,1990200,1985751,1986188,1990896,1987065,1987872,1990424,1987658,1991116,1989312,1988149,1988648,1986792,1989408,1988103,1989315,1987161,1988249,1990227,1987720,1988967,1987196,1987870,1989556,1987248,1988958,1988831,1988725,1986996,1988724,1988468,1987861,1989811,1990708,1989939,1989773,1989060,1986401,1985175,1986597,1987875,1986811,1986052,1989561,1987748,1988223,1986884,1987657,1988401,1988079,1990893,1986066,1987464,1987485,1988239,1986437,1987554,1987515,1988953,1988667,1991353,1988241,1986098,1986802,1987769,1988029,1988462,1987267,1987029,1989128,1988991,1990143,1987519,1989500,1988175,1989650,1987087,1987779,1984645,1989158,1990527,1990857,1987654,1987684,1989607,1990161,1991284,1988913,1987220,1988232,1989874,1988130,1987884,1988564,1987379,1989022,1986151,1985572,1987679,1990359,1986881,1988140,1989529,1985736,1988916,1987367,1987571,1991705,1989287,1987455,1987834,1987316,1987603,1990090,1988093,1987075,1986427,1991530,1991025,1988036,1991513,1987026,1988071,1986901,1988413,1987924,1986910,1991388,1987469,1988901,1988750,1990096,1988224,1987047,1987759,1985844,1991439,1990237,1986948,1986666,1988042,1989449,1989548,1989005,1987645,1989034,1986958,1986987,1990030,1989454,1988122,1987461,1990328,1988831,1990112
509500000,-12788,742,36144,35610,-17508,-2086,-8828,-21200,-84,13766,4842,10346,16882,-22962,30828,38540,-11404,-18230,-6694,-6440,-15352,37304,12322,23112,22594,29960,-19900,-34582,11272,-46750,-1788,-14172,-25076,27354,-11872,-25010,1646,2024,18888,18820,-8228,-27194,-10800,-4672,11642,-7460,-13234,-19480,-17440,22018,-24424,6940,-19628,1992096,1990686,1989232,1990433,1988666,1991236,1990848,1990020,1989056,1989348,1990870,1992164,1990907,1992572,1990375,1991510,1991634,1989199,1991747,1988637,1989169,1990029,1987492,1991808,1989305,1990115,1990963,1991397,1991155,1987966,1990064,1989461,1990234,1992931,1988992,1989925,1990391,1991618,1988459,1989002,1987988,1990776,1990259,1990181,1987471,1990102,1991714,1992953,1988932,1988405,1990327,1989184,1990745,1989651,1989827,1991707,1989726,1989804,1988276,1989163,1989683,1989825,1990521,1989860,1989526,1991277,1991055,1995183,1991821,1987363,1990802,1987154,1988927,1990234,1989882,1991450,1989742,1988739,1988583,1990878,1990244,1987012,1989108,1990670,1988873,1992373,1989568,1991538,1991603,1987972,1990115,1989492,1991254,1991908,1991120,1992016,1991127,1989440,1989215,1988252,1987850,1992208,1987701,1988100,1992821,1989015,1989889,1992330,1989596,1993046,1991211,1990077,1990572,1988775,1991313,1990040,1991278,1989169,1990212,1992148,1989624,1990889,1989153,1989894,1991495,1989205,1990902,1990785,1990686,1988979,1990670,1990435,1989738,1991798,1992631,1991865,1991777,1991036,1988328,1987136,1988513,1989788,1988746,1988015,1991531,1989718,1990262,1988824,1989595,1990411,1990081,1992859,1988032,1989396,1989433,1990137,1988375,1989473,1989444,1990920,1990569,1993307,1990192,1988031,1988770,1989714,1990022,1990459,1989268,1989002,1990987,1990925,1992104,1989505,1991448,1990183,1991635,1989062,1989731,1986617,1991091,1992568,1992815,1989581,1989621,1991549,1992171,1993197,1990830,1989222,1990179,1991827,1990139,1989828,1990481,1989313,1990992,1988101,1987499,1989607,1992322,1988852,1990124,1991490,1987686,1990831,1989265,1989486,1993632,1991211,1989376,1989811,1989397,1989539,1992042,1990093,1989094,1988376,1993544,1992904,1989916,1993460,1988932,1989990,1988840,1990354,1989878,1988854,1993324,1989406,1990816,1990651,1992022,1990171,1989047,1989805,1987874,1993402,1992165,1988845,1988622,1989957,1991417,1991427,1990915,1989683,1991064,1988862,1988955,1991955,1991445,1990032,1989415,1992272,1990785,1991987
510000000,-11604,1602,35628,34966,-18482,-2774,-9902,-20918,1258,14144,5388,10992,17954,-23262,31478,39526,-12066,-18060,-7566,-6432,-14038,37050,13298,23120,23402,29558,-20156,-35006,11760,-46922,-1050,-14038,-24110,27306,-13092,-25844,2012,1982,19162,19070,-7858,-27548,-9754,-3994,11804,-7880,-13242,-18432,-16540,22062,-24230,6704,-18436,1994012,1992661,1991183,1992501,1990640,1993177,1992897,1992035,1990968,1991307,1992827,1994093,1992877,1994588,1992363,1993524,1993572,1991125,1993749,1990590,1991121,1992027,1989456,1993700,1991301,1992071,1992936,1993404,1993166,1989883,1992138,1991369,1992220,1994844,1990954,1991851,1992329,1993567,1990445,1990954,1989922,1992758,1992212,1992178,1989397,1992052,1993637,1994881,1990919,1990399,1992261,1991209,1992755,1991576,1991852,1993656,1991724,1991759,1990127,1991100,1991792,1991776,1992431,1991802,1991482,1993290,1992953,1997122,1993793,1989323,1992712,1989083,1990904,1992141,1991867,1993418,1991734,1990685,1990467,1992885,1992102,1988947,1991125,1992609,1990814,1994376,1991533,1993508,1993561,1989911,1992074,1991411,1993175,1993841,1993057,1993942,1993143,1991349,1991178,1990269,1989783,1994138,1989750,1990055,1994856,1990966,1991806,1994242,1991569,1994988,1993090,1992045,1992571,1990744,1993307,1991917,1993189,1991017,1992091,1994069,1991653,1992847,1991160,1991842,1993397,1991149,1992890,1992684,1992661,1991023,1992634,1992431,1991635,1993743,1994568,1993852,1993729,1993032,1990321,1989063,1990495,1991752,1990686,1989983,1993492,1991680,1992147,1990809,1991559,1992363,1991993,1994818,1990017,1991399,1991395,1992104,1990317,1991344,1991430,1992864,1992552,1995231,1992162,1989944,1990716,1991718,1991974,1992398,1991127,1990976,1992978,1992863,1994075,1991433,1993379,1992118,1993573,1991048,1991660,1988596,1993067,1994472,1994705,1991479,1991591,1993465,1994079,1995060,1992708,1991226,1992115,1993772,1992202,1991775,1992425,1991298,1992968,1990061,1989535,1991586,1994268,1990815,1992055,1993393,1989682,1992814,1991194,1991409,1995681,1993158,1991309,1991763,1991289,1991465,1993976,1991989,1991060,1990345,1995465,1994773,1991881,1995298,1990877,1991945,1990834,1992374,1991851,1990852,1995300,1991310,1992746,1992548,1993983,1992106,1990948,1991723,1989836,1995250,1994089,1990777,1990637,1991959,1993303,1993377,1992900,1991654,1992995,1990797,1990943,1993833,1993394,1991950,1991379,1994195,1992684,1993921
510500000,-11552,1584,36650,35858,-18958,-2300,-9946,-20964,594,15644,3794,12186,16496,-23476,32352,40080,-12414,-18118,-9774,-6908,-13136,38000,14164,23114,23870,28600,-20408,-35588,11514,-46448,-1558,-14664,-23756,28284,-13588,-25738,820,714,19390,19146,-7846,-27906,-8948,-3892,12270,-7800,-13052,-19382,-17520,22474,-24876,7266,-18752,1995950,1994659,1993150,1994477,1992572,1995149,1994903,1993988,1992913,1993275,1994838,1996045,1994915,1996522,1994324,1995485,1995500,1993036,1995702,1992515,1993140,1993981,1991423,1995601,1993253,1994051,1994891,1995323,1995063,1991866,1994120,1993325,1994179,1996790,1992884,1993751,1994191,1995568,1992404,1992911,1991896,1994822,1994170,1994144,1991321,1994006,1995650,1996763,1992915,1992318,1994289,1993133,1994673,1993537,1993735,1995602,1993651,1993677,1992011,1993060,1993724,1993757,1994388,1993747,1993493,1995255,1994911,1999078,1995695,1991290,1994598,1991089,1992805,1994134,1993880,1995384,1993692,1992628,1992423,1994820,1994140,1990853,1993148,1994573,1992800,1996253,1993429,1995501,1995487,1991848,1994009,1993364,1995158,1995828,1994954,1995913,1995095,1993355,1993105,1992211,1991766,1996114,1991653,1991975,1996841,1992893,1993735,1996194,1993472,1996942,1995045,1994005,1994556,1992638,1995218,1993873,1995150,1992893,1994102,1996050,1993551,1994784,1993152,1993819,1995294,1993166,1994889,1994635,1994659,1992968,1994571,1994414,1993616,1995734,1996534,1995821,1995623,1994942,1992283,1990979,1992389,1993692,1992605,1991960,1995469,1993599,1994057,1992800,1993578,1994333,1993904,1996812,1991980,1993371,1993319,1994014,1992265,1993205,1993361,1994810,1994569,1997199,1994101,1991936,1992747,1993696,1993916,1994332,1993097,1992899,1994883,1994786,1996014,1993367,1995336,1994104,1995535,1992998,1993591,1990495,1995061,1996392,1996679,1993448,1993543,1995414,1996032,1997092,1994611,1993214,1994072,1995777,1994134,1993730,1994439,1993277,1994870,1991972,1991483,1993476,1996263,1992723,1994031,1995332,1991659,1994705,1993047,1993351,1997628,1995184,1993295,1993675,1993196,1993416,1995953,1993939,1993046,1992238,1997444,1996763,1993799,1997296,1992871,1993936,1992769,1994361,1993737,1992748,1997220,1993249,1994711,1994423,1995971,1994077,1992877,1993698,1991812,1997265,1996050,1992802,1992574,1993847,1995251,1995261,1994898,1993682,1994975,1992802,1992870,1995728,1995428,1993958,1993304,1996220,1994635,1995797
511000000,-9314,2094,37272,36654,-19604,-2436,-9922,-22536,2594,15182,2688,12062,16822,-22944,32736,40224,-13928,-16946,-9834,-7702,-13100,38116,14214,23716,25302,29312,-21110,-35584,10516,-47026,-868,-14452,-24454,28498,-13648,-25988,1262,426,18844,20086,-8798,-27840,-8832,-3124,12686,-7920,-13126,-19132,-18376,21932,-24990,7594,-18544,1998049,1996733,1995187,1996503,1994547,1997181,1996918,1995928,1994856,1995279,1996880,1998057,1996864,1998527,1996301,1997434,1997549,1994965,1997672,1994537,1995113,1995997,1993344,1997627,1995272,1995918,1996803,1997304,1996996,1993798,1996016,1995276,1996167,1998812,1994922,1995629,1996182,1997600,1994328,1994966,1993915,1996739,1996117,1996145,1993297,1995960,1997593,1998740,1994913,1994271,1996285,1994944,1996630,1995432,1995706,1997539,1995566,1995719,1993993,1994959,1995627,1995718,1996345,1995677,1995512,1997216,1996924,2001051,1997739,1993245,1996502,1992970,1994808,1996089,1995829,1997385,1995618,1994578,1994435,1996814,1996116,1992772,1995058,1996502,1994677,1998246,1995360,1997511,1997484,1993799,1995966,1995287,1997158,1997765,1996910,1997903,1997146,1995314,1995042,1994130,1993766,1998018,1993536,1993852,1998797,1994931,1995579,1998149,1995394,1998898,1996939,1995944,1996503,1994571,1997190,1995906,1997082,1994884,1995991,1997935,1995454,1996700,1995116,1995748,1997330,1995060,1996795,1996547,1996733,1994957,1996541,1996343,1995588,1997756,1998473,1997807,1997658,1996930,1994230,1992914,1994326,1995580,1994493,1993858,1997430,1995586,1996110,1994757,1995541,1996265,1995913,1998706,1993912,1995311,1995259,1995941,1994289,1995154,1995329,1996746,1996561,1999163,1996062,1993843,1994715,1995614,1995868,1996283,1994973,1994821,1996806,1996726,1997986,1995293,1997330,1996073,1997547,1994901,1995499,1992444,1997098,1998296,1998586,1995344,1995508,1997376,1997973,1998967,1996527,1995146,1996045,1997665,1996178,1995668,1996420,1995229,1996849,1993899,1993404,1995381,1998208,1994778,1995977,1997234,1993605,1996622,1995008,1995261,1999608,1997133,1995271,1995649,1995117,1995286,1997920,1995892,1994964,1994144,1999428,1998643,1995726,1999175,1994763,1995807,1994700,1996335,1995706,1994655,1999220,1995193,1996691,1996417,1997944,1995989,1994824,1995663,1993714,1999173,1997962,1994626,1994532,1995790,1997223,1997202,1996851,1995603,1996896,1994653,1994868,1997725,1997338,1995801,1995263,1998079,1996547,1997752
