seg 31600/50000  x=6.32e+11  13503s  eta 7862s
seg 31800/50000  x=6.36e+11  13598s  eta 7783s
seg 32000/50000  x=6.40e+11  13698s  eta 7705s
seg 32200/50000  x=6.44e+11  13806s  eta 7632s
seg 32400/50000  x=6.48e+11  13891s  eta 7546s
seg 32600/50000  x=6.52e+11  14008s  eta 7477s
seg 32800/50000  x=6.56e+11  14116s  eta 7402s
seg 33000/50000  x=6.60e+11  14233s  eta 7332s
seg 33200/50000  x=6.64e+11  14344s  eta 7259s
seg 33400/50000  x=6.68e+11  14450s  eta 7182s
seg 33600/50000  x=6.72e+11  14551s  eta 7102s
seg 33800/50000  x=6.76e+11  14669s  eta 7031s
seg 34000/50000  x=6.80e+11  14761s  eta 6946s
seg 34200/50000  x=6.84e+11  14852s  eta 6861s
seg 34400/50000  x=6.88e+11  14945s  eta 6777s
seg 34600/50000  x=6.92e+11  15035s  eta 6692s
seg 34800/50000  x=6.96e+11  15140s  eta 6613s
seg 35000/50000  x=7.00e+11  15245s  eta 6534s
seg 35200/50000  x=7.04e+11  15344s  eta 6452s
seg 35400/50000  x=7.08e+11  15451s  eta 6373s
seg 35600/50000  x=7.12e+11  15546s  eta 6288s
seg 35800/50000  x=7.16e+11  15668s  eta 6215s
seg 36000/50000  x=7.20e+11  15765s  eta 6131s
seg 36200/50000  x=7.24e+11  15860s  eta 6046s
seg 36400/50000  x=7.28e+11  15962s  eta 5964s
seg 36600/50000  x=7.32e+11  16055s  eta 5878s
seg 36800/50000  x=7.36e+11  16144s  eta 5791s
seg 37000/50000  x=7.40e+11  16234s  eta 5704s
seg 37200/50000  x=7.44e+11  16348s  eta 5625s
seg 37400/50000  x=7.48e+11  16458s  eta 5545s
seg 37600/50000  x=7.52e+11  16569s  eta 5464s
seg 37800/50000  x=7.56e+11  16686s  eta 5385s
seg 38000/50000  x=7.60e+11  16802s  eta 5306s
seg 38200/50000  x=7.64e+11  16914s  eta 5225s
seg 38400/50000  x=7.68e+11  17022s  eta 5142s
seg 38600/50000  x=7.72e+11  17132s  eta 5060s
seg 38800/50000  x=7.76e+11  17248s  eta 4979s
seg 39000/50000  x=7.80e+11  17339s  eta 4891s
seg 39200/50000  x=7.84e+11  17441s  eta 4805s
seg 39400/50000  x=7.88e+11  17571s  eta 4727s
seg 39600/50000  x=7.92e+11  17695s  eta 4647s
seg 39800/50000  x=7.96e+11  17801s  eta 4562s
seg 40000/50000  x=8.00e+11  17888s  eta 4472s
seg 40200/50000  x=8.04e+11  18000s  eta 4388s
seg 40400/50000  x=8.08e+11  18112s  eta 4304s
seg 40600/50000  x=8.12e+11  18210s  eta 4216s
seg 40800/50000  x=8.16e+11  18311s  eta 4129s
seg 41000/50000  x=8.20e+11  18419s  eta 4043s
seg 41200/50000  x=8.24e+11  18526s  eta 3957s
