graph6	class	class_sizes
S???????F?Y?b?Oo@o@Q?Co?_o?`_?H_?	E	[13, 13, 12, 12]
S???????F?Y?b?Oo@S?Y?Go?_o?`_?g_?	E	[13, 13, 12, 12]
S???????F?Y?b?Oo@S?Y?HG?Ao?a_@__?	E	[13, 13, 12, 12]
S???????F?Y?b?Oo@S?Y??w?oO@__?H_?	E	[13, 13, 12, 12]
S???????F?Y?b?Oo@S?Y??s?oO@`??H_?	E	[13, 13, 12, 12]
S???????F?Y?b?Oo@S?Y??s?_o?`_@g??	E	[13, 13, 12, 12]
S???????F?Y?b?Oo@S?Y?@K?_o?a_@c??	E	[13, 13, 12, 12]
S???????F?R?`_[?HG?k?BG?BO@@_?B_?	E	[13, 13, 12, 12]
S???????F?R?`_[?HG?k?@W?Go@@_?E_?	E	[13, 13, 12, 12]
S???????F?R?`_[?GK?g_@o?IO?B_@P??	E	[13, 13, 12, 12]
S???????F?R?`_SOGc?s?H_?`O?P_?B_?	E	[13, 13, 12, 12]
S???????F?R?`_SOGc?s?@o?`O?P_@@_?	E	[13, 13, 12, 12]
S???????F?R?`_SOGc?s?@g?@o@O_@A_?	E	[13, 13, 12, 12]
S???????F?R?`_SOGc?g_IO?a_?S_?B_?	E	[13, 13, 12, 12]
S???????F?R?`_SOGc?g_Go?g_?S_?B_?	E	[13, 13, 12, 12]
S???????F?R?`_SOGc?g_Go?I_@O_?B_?	E	[13, 13, 12, 12]
S???????F?R?`_SOGE@g?BG?IO?F?@A_?	E	[13, 13, 12, 12]
S???????F?R?`_SOGE@g?@g?H_@O_?E_?	E	[13, 13, 12, 12]
S???????F?R?`_SOGE@g?@W?I_?E_@O_?	E	[13, 13, 12, 12]
S??????_E?[?WAKCBA?w?Ao?E_?J??F??	T2	-
S??????_E?[?SAJ?DO?w?Co?Ao?B_?J??	E	[13, 13, 12, 12]
S??????_E?[?SAJ?DO?w?CW?BO?B_?L??	E	[13, 13, 12, 12]
S??????_E?[?SAJ?EA?s?B_?B_?B_?J??	E	[13, 13, 12, 12]
S??????_E?[?SAJ?EA?s?BO?Ao?F??J??	E	[13, 13, 12, 12]
S??????_E?[?SAJ?EA?s?Ao?E_?B_?J??	E	[13, 13, 12, 12]
S??????_E?[?SAJ?EA?s?Ao?B_?H_?J??	E	[13, 13, 12, 12]
S??????_E?[?SAJ?EA?s?AW?EO?F??J??	E	[13, 13, 12, 12]
S??????_E?[?SAJ?EA?s?AW?BO?L??J??	E	[13, 13, 12, 12]
S??????_E?[?SAJ?EA?s?AS?E_?F??J??	E	[13, 13, 12, 12]
S??????_E?[?SAF?BO@W?GW?@o?E_?L??	E	[13, 13, 12, 12]
S??????_E?[?SAF?BO@W??[?@o@E??L??	E	[13, 13, 12, 12]
S??????_E?[?SAF?AW?T?J??BO@@_?J??	E	[13, 13, 12, 12]
S??????_E?[?SAF?AW?T?H_?HO@@_?J??	E	[13, 13, 12, 12]
S??????_E?[?SAF?AW?T?IG?EO@A_?J??	E	[13, 13, 12, 12]
S??????_E?[?SAF?AW?T?IG?BO@G_?J??	E	[13, 13, 12, 12]
S??????_E?[?SAF?AW?T?@g?h??I_@@_?	E	[13, 13, 12, 12]
S??????_E?[?SAF?AW?T?IC?a_?I_?J??	E	[13, 13, 12, 12]
S??????_E?[?SAB_DG?Q_H_?S_?`_?F??	E	[13, 13, 12, 12]
S??????_E?[?SAB_DG?Q_HG?S_?c_?F??	E	[13, 13, 12, 12]
S??????_E?[?SAB_@K@W?Go?B_?`_?g_?	E	[13, 13, 12, 12]
S??????_E?M?[?J?PO?Y?@W?Ag?B_?c_?	E	[13, 13, 12, 12]
S??????_E?M?[?J?PO?Y?@S?@o?DO?d??	E	[13, 13, 12, 12]
S??????_E?M?[?J?PO?Y?@Q?Q_?B_?D_?	E	[13, 13, 12, 12]
S??????_E?M?[?J?PO?Y?@Q?P_?D_?D_?	T2	-
S??????_E?M?[?J?PO?Y?@Q?Oo?F??D_?	E	[13, 13, 12, 12]
S??????_E?M?[?J?PO?Y??Y?DO?D_?d??	E	[13, 13, 12, 12]
S??????_E?M?[?J?PO?W_@c?B_?BO?b??	T2	-
S??????_E?M?[?J?PA?U?@a?E_?b??B_?	E	[13, 13, 12, 12]
S??????_E?M?[?aCDA?k?B_?D_?BO?F??	E	[13, 13, 12, 12]
S??????_E?M?[?aCDA?k?BO?D_?DO?F??	E	[13, 13, 12, 12]
S??????_E?M?[?aCCa?KOBO?W_?F??F??	E	[13, 13, 12, 12]
S??????_E?M?[?aCCa?KOBO?H_?d??F??	E	[13, 13, 12, 12]
S??????_E?M?[?aCCa?KO@o?W_?R??F??	E	[13, 13, 12, 12]
S??????_E?M?[?aCCa?KO@W?X??T??F??	E	[13, 13, 12, 12]
S??????_E?M?[?BA@W?U?Gc?CoCH??b??	E	[13, 13, 12, 12]
S??????_E?M?Y?F?BACK?@S?a_?BO?F??	E	[13, 13, 12, 12]
S??????_E?M?Y?F?BA?E_?i?E_CB?@I??	E	[13, 13, 12, 12]
S??????_E?M?Y?H_?w?J??sAO_?P_?oO?	E	[13, 13, 12, 12]
S??????_E?M?Y?H_?w?K_e??P_?B_?PO?	E	[13, 13, 12, 12]
S??????_E?M?Y?H_?w?K_cO?Go?R??`O?	E	[13, 13, 12, 12]
S??????_E?M?Y?H_?w?K_cO?@o?p??PO?	E	[13, 13, 12, 12]
S??????_E?M?Y?H_?w?K_cG?X??B_?PO?	E	[13, 13, 12, 12]
S??????_E?M?Y?H_?w?K_cG?P_?Q_?PO?	E	[13, 13, 12, 12]
S??????_E?M?Y?H_?w?K__W?X??`_?PO?	E	[13, 13, 12, 12]
S??????_E?M?Y?H_?w?K__W?WO?b??PO?	E	[13, 13, 12, 12]
S??????_E?M?Y?H_?w?K__W?PO?PO?p??	E	[13, 13, 12, 12]
S??????_E?M?Y?H_?w?K__W?@o?oO?p??	E	[13, 13, 12, 12]
S??????_E?M?Y?`CCa?k?E_?H_?BO?F??	E	[13, 13, 12, 12]
S??????_E?M?Y?`CCa?k?EO?I_?BO?F??	E	[13, 13, 12, 12]
S??????_E?M?Y?`CCa?M??q?Q_?R??p??	E	[13, 13, 12, 12]
S??????_E?M?Y?`CCa?M??q?B_?p??p??	T2	-
S??????_E?M?Y?`CCa?M??i?R??R??p??	E	[13, 13, 12, 12]
S??????_E?M?Y?`CCa?M??i?B_?q??p??	E	[13, 13, 12, 12]
S??????_E?M?Y?`CCa?cOEO?I_?J??F??	E	[13, 13, 12, 12]
S??????_E?M?Y?`CCa?KOCo?I_?b??R??	E	[13, 13, 12, 12]
S??????_E?M?Y?`CCa?KO?w?Y??b??R??	E	[13, 13, 12, 12]
S??????_E?M?Y?`CCa?KO?w?R??R??p??	E	[13, 13, 12, 12]
S??????_E?M?Y?`CCa?KO?w?B_?q??p??	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO?Y?@S?AoCD?@B??	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO?Y?@K?AoCE?@B??	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO@E?@g?H_?B_CG_?	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO@E??w?D_?P_CG_?	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO?U?@g?`_?B_CG_?	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO?U?GW?D_?D_CG_?	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO?U??w?c_?B_CG_?	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO?U??w?D_@@_CG_?	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO?U??sA?o?J?@H??	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO@O_`O?E_?B_?F??	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO@O_`O?D_?D_?F??	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO@O_@c?D_CB??F??	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO?W__c?B_?J?@B??	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO?W__S?E_@B??F??	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO?Q_`C?E_@B??F??	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO?Q__S?c_?F??L??	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO?Q__S?D_?L?@D??	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO?Q_@S?E_CD?@B??	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO?Q_@K?E_CE?@B??	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO?Q_?k?a_?J?CI??	E	[13, 13, 12, 12]
S??????_E?M?Y?DABO?Q_?k?E_CI?@B??	E	[13, 13, 12, 12]
S??????_E?M?Y?@a?i?`_@g?`_?U?Co??	E	[13, 13, 12, 12]
S??????_E?M?Y?@a?i?D_Co?`_?p?CW??	E	[13, 13, 12, 12]
S??????_E?M?R?GaEG?p?BO?E_?B_CC_?	E	[13, 13, 12, 12]
S??????_E?M?R?GaEG?T??w?HOCG_?h??	E	[13, 13, 12, 12]
S??????_E?M?R?GaEG?R?ASAE??d??H_?	E	[13, 13, 12, 12]
S??????_E?M?R?GaEG?R?AS?EOCD??h??	E	[13, 13, 12, 12]
S??????_E?M?R?GaCK?U?ASAC_?d??g_?	E	[13, 13, 12, 12]
S??????_E?M?R?Ga?M?o_Ao?`_CK??h??	E	[13, 13, 12, 12]
S??????_E?M?R??q?Y@@_J??I_?h?Ca??	E	[13, 13, 12, 12]
S??????_E?M?R??q?Y@@_B_?g_?h?Ca??	E	[13, 13, 12, 12]
S??????_E?M?R??eEA@W?BOA@_?F??d??	E	[13, 13, 12, 12]
S??????_E?M?R??eEA@S?EOA@_?J??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eEA@Q?B_?D_?F?C`??	E	[13, 13, 12, 12]
S??????_E?M?R??eEA@Q?B_?B_CB??h??	E	[13, 13, 12, 12]
S??????_E?M?R??eEA@Q?EOAC_?F??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eEA@Q?BO?P_CD??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eEA@Q?Ao?P_CH??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eEA@Q?EGAB??J??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eEA@Q?EGA@_?M??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eEA@Q?AgAC_?M??b??	E	[13, 13, 12, 12]
S??????_E?M?R??eEA@Q?AW?R?CH??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eEA@Q?AW?P_CK??L??	E	[13, 13, 12, 12]
S??????_E?M?WCe?Aa@S?B_?D_?BO?F??	E	[13, 13, 12, 12]
S??????_E?M?WCe?Aa@S?BO?E_?BO?F??	E	[13, 13, 12, 12]
S??????_E?M?WCe?Aa@S?Ao?E_?BO?J??	E	[13, 13, 12, 12]
S??????_E?M?WCe?Aa@K?BO?I_?BO?F??	E	[13, 13, 12, 12]
S??????_E?M?WCe?Aa@K?@o?Gg?R??F??	E	[13, 13, 12, 12]
S??????_E?M?WCe?Aa@K?@W?HG?T??F??	E	[13, 13, 12, 12]
S??????_E?M?WCe?Aa@COB_?D_?R??F??	E	[13, 13, 12, 12]
S??????_E?M?WCe?Aa@COBO?E_?R??F??	E	[13, 13, 12, 12]
S??????_E?M?WCe?Aa?SOBO?E_@B??F??	E	[13, 13, 12, 12]
S??????_E?M?WCe?Aa?KOBO?I_@B??F??	E	[13, 13, 12, 12]
S??????_E?M?WCe?Aa?KOBO?H_@D??F??	E	[13, 13, 12, 12]
S??????_E?M?WCe?Aa?KO@o?g_?R??F??	E	[13, 13, 12, 12]
S??????_E?M?WCe?Aa?KO@W?h??T??F??	E	[13, 13, 12, 12]
S??????_E?M?WCe?Aa?EO?w?B_?X?@W??	T2	-
S??????_E?M?QC@cSG@g?B_?Q_?R??BO?	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@g?B_?I_?b??BO?	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@g?EO?D_?DO?T??	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@g?BO?B_?DO?p??	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@g?BG?BG?R??d??	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@g?@g?Q_?R??QO?	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@g?@g?B_?R??oO?	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@g?CW?L??DO?T??	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@W?D_?Q_?R??BO?	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@W?D_?I_?b??BO?	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@W?B_?@g?d??b??	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@W?DO?B_?DO?p??	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@W?DG?H_?F??cO?	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@W?BG?Og?F??e??	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@W?BG?Ag?b??e??	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@W?BG?@g?d??e??	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@`?D_?M??R??BO?	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@`?D_?F??R??PO?	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG@`?DG?D_?SO?U??	E	[13, 13, 12, 12]
S??????_E?M?QC@cSG?L?@W?o_?U??oO?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCK?@S?Go?BO?F??	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCK??Y?HO?J??D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCI?Ao?@g?H_?D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCI?@g?BG?P_?B_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCI?@g?Ag?Q_?B_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCI?AW?BG?H_?D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCI?AW?@g?K_?D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCI?Ac?Co?BO?F??	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCI?@c?Go?BO?F??	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCI?AS?@g?L??D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCI?@S?Go?DO?F??	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCI?@K?HO?DO?F??	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCI?@K?Go?EO?F??	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCI??i?Go?J??E_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCI??Y?Go?L??E_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCE?AW?D_?Go?D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCE?AW?DO?HO?D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCE?AS?D_?HO?D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCE??Y?DO?X??D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCE??U?D_?X??D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCB?Ao?D_?Go?D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCB?Ao?DO?HO?D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCB?AW?F??Go?D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCB?AW?DO?KO?D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCB?AS?F??HO?D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCB?AS?D_?KO?D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCB??q?D_?W_?D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCB??q?DO?X??D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCB??Y?F??W_?D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCB??U?F??X??D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCG_@o?Ag?R??B_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCG_?q?H_?J??D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCG_?Y?J??J??D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCG_?Y?H_?M??D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HO?W_?s?@g?J?CD??	E	[13, 13, 12, 12]
S??????_E?F?L?[?HO?W_?[?BG?J?CD??	E	[13, 13, 12, 12]
S??????_E?F?L?[?HO?W_?[?@g?M?CD??	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCC_@S?K_?BO?F??	E	[13, 13, 12, 12]
S??????_E?F?L?[?HO?S_@S?@g?J?CD??	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCA_BO?@g?L??D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCA_Ao?D_?HO?D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCA_AW?F??HO?D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCA_AW?D_?KO?D_?	E	[13, 13, 12, 12]
S??????_E?F?L?[?HOCA_@K?L??DO?F??	E	[13, 13, 12, 12]
S??????_E?F?L?[?HO?Q_@S?Ag?L?CB??	E	[13, 13, 12, 12]
S??????_E?F?L?[?HO?Q_@K?Ag?J?CE??	E	[13, 13, 12, 12]
S??????_E?F?L?[?HO?Q_@K?@g?L?CE??	E	[13, 13, 12, 12]
S??????_E?F?L?[?HO?Oo`O?D_?F??D_?	E	[13, 13, 12, 12]
S??????_E?F?L?K_X?AGOAo?Ao?J??B_?	E	[13, 13, 12, 12]
S??????_E?F?L?K_X?AAOBG?F??D_?B_?	E	[13, 13, 12, 12]
S??????_E?F?L?K_X?A?o@c?D_?R??F??	E	[13, 13, 12, 12]
S??????_E?F?L?K_X?A?oAS?D_?F??L??	T2	-
S??????_E?F?L?K_X??GoAo?E_AB??B_?	E	[13, 13, 12, 12]
S??????_E?F?L?K_@K?R?OW@E??GoCC_?	T2	-
S??????_E?WAWAKCD_?s?DO?K_?F??F??	E	[13, 13, 12, 12]
S??????_E?WAWAKCD_?s?DO?I_?J??F??	E	[13, 13, 12, 12]
S??????_E?WAWAKCD_?s?DO?E_?R??F??	E	[13, 13, 12, 12]
S??????_E?WAWAKCD_?s?Co?K_?J??F??	E	[13, 13, 12, 12]
S??????_E?WAWAKCD_?s?CW?M??J??F??	E	[13, 13, 12, 12]
S??????_E?WAWAKCD_?s?CW?L??L??F??	E	[13, 13, 12, 12]
S??????_E?WAWAKCD_?U?Ag?U??b??J??	E	[13, 13, 12, 12]
S??????_E?WAWAKCD_?U?Ag?R??h??J??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q@o?H_?D_?F??b??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q@o?GW?T??F??L??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q@o?GW?P_?M??L??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q@W?K_?B_?J??b??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q@W?KO?Q_?F??J??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q@W?KO?P_?F??L??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q@W?Go?Q_?b??J??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q@W?Go?B_?h??b??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q@a?GW?L??d??L??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q@Q?L??Q_?F??J??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q@Q?L??P_?F??L??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q@Q?H_?S_?b??F??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q@Q?HO?S_?d??F??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q@Q?HO?P_?d??L??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q@Q?KG?T??F??L??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q@Q?KG?P_?L??M??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q@Q?CW?P_@K??L??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q?R?HO?R?@`??L??	E	[13, 13, 12, 12]
S??????_E?W@[?BC@Q?R?GW?p??k??L??	E	[13, 13, 12, 12]
S??????_E?W@M?L?EOAQ?BG?EO?F??B_?	E	[13, 13, 12, 12]
S??????_E?W@M?L?EOAQ?AW?DO?D_?L??	E	[13, 13, 12, 12]
S??????_E?W@M?L?EOAQ?AW?@o?K_?L??	E	[13, 13, 12, 12]
S??????_E?W@M?L?EOAO_AS?D_?F??L??	T2	-
S??????_E?W@WCECE_?w?H_?H_?F??F??	T2	-
S??????_E?W@WCECE_@S?D_?B_?R??J??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@S?BO?D_?d??F??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@S?CW?L??F??L??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@S?CW?J??J??L??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@S?CW?H_?M??L??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_?s?BO?E_@B??F??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@K?E_?B_?R??J??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@K?EO?I_?F??J??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@K?EO?H_?F??L??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_?k?H_?H_?R??F??	T2	-
S??????_E?W@WCECE_?k?BO?H_@D??F??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_?k?@o?g_?R??F??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@E?F??I_?F??J??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@E?E_?I_?J??J??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@E?E_?E_?R??J??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@E?E_?B_?X??J??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@E?D_?I_?R??J??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@E?Co?I_?X??J??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@E?EG?J??L??J??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@E?EG?K_?F??M??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@E?EG?I_?J??M??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@E?Cg?M??R??J??	E	[13, 13, 12, 12]
S??????_E?W@WCECE_@E?Cg?I_?Y??J??	E	[13, 13, 12, 12]
S??????_E?W@KCKCF?AK?B_?D_?F??R??	T2	-
S??????_E?W@KCKCF?AK?BO?I_?J??F??	T2	-
S??????_E?W@KCKCF?AK?@o?D_?T??R??	T2	-
S??????_E?S@U?U?EA@K?@o?E_?B_?R??	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@W?HO?@o?D_?F??	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@W?Go?Ao?J??B_?	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@W?Gc?@o?J??F??	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@S?@o?`_?B_?H_?	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@S??w?d??B_?H_?	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@S??w?`_?I_?H_?	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@S?HC?D_?B_?F??	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@Q?H_?B_?B_?H_?	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@Q?HO?B_?D_?H_?	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@Q?HG?DO?D_?F??	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@Q?Gg?F??B_?H_?	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@Q?Gg?B_?I_?H_?	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@Q?Gg?BO?J??H_?	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@Q?GW?F??D_?H_?	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@Q?GW?B_?K_?H_?	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@Q?GW?BO?L??H_?	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@Q?HC?D_?D_?F??	E	[13, 13, 12, 12]
S??????_E?S@U?T?BO@Q?Gc?B_?J??H_?	E	[13, 13, 12, 12]
