graph6	class	class_sizes
S??????_E?[?SAF?@o@Q?Gg?Ao?a_?J??	E	[13, 13, 12, 12]
S??????_E?[?SAF?@o@Q?@c?_o?b??F??	E	[13, 13, 12, 12]
S??????_E?[?SAB_@o@Q?@S?`_?d??`_?	E	[13, 13, 12, 12]
S??????_E?M?[?J?PO?OoD_?D_?B_?F??	E	[13, 13, 12, 12]
S??????_E?M?[?J?PO?OoDO?D_?F??D_?	E	[13, 13, 12, 12]
S??????_E?M?[?J?PO?OoCo?E_?B_?J??	E	[13, 13, 12, 12]
S??????_E?M?[?J?OW?@oAc?M??J??b??	T2	-
S??????_E?M?[?J?OQ?QOAg?Q_?J??I_?	E	[13, 13, 12, 12]
S??????_E?M?[?KC@a?SOB_?D_CB??F??	T2	-
S??????_E?M?[?KC@a?SOBOAC_?F??F??	T2	-
S??????_E?M?[?KC@a?SOBOAA_?F??J??	T2	-
S??????_E?M?[?KC@a?SOBO?E_CB??F??	T2	-
S??????_E?M?[?aCCa?EO?w?B_?X??w??	T2	-
S??????_E?M?[?ICOo?W_B_?B_?BO?b??	T2	-
S??????_E?M?Y?L?PO?k??w?D_?Ao?P_?	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?k??w?DO?BO?P_?	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?k??s?D_?BO?P_?	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?k??s?Co?BO?R??	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?e??w?@o?H_?WO?	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?g_?s?E_?BO?R??	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?W_@c?B_?BO?b??	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?c_@o?Cg?B_?R??	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?c_AS?Cg?J??F??	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?c_@S?E_?BO?R??	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?S_CS?@g?L??J??	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?IOBO?Q_?B_?D_?	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?IOBO?Oo?F??D_?	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?IOCo?H_?H_?D_?	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?IOCS?H_?L??D_?	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?IO@K?Go?e??F??	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?EODO?H_?H_?D_?	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?EO@g?SO?B_?R??	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?BODO?H_?K_?D_?	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?GoBO?Q_?B_?F??	E	[13, 13, 12, 12]
S??????_E?M?Y?L?PO?AoCo?H_?H_?L??	E	[13, 13, 12, 12]
S??????_E?M?Y?H_R??KO@S?P_?R??D_?	E	[13, 13, 12, 12]
S??????_E?M?Y?H_R??IOD_?Ao?R??B_?	E	[13, 13, 12, 12]
S??????_E?M?Y?H_R??IODO?I_?D_?B_?	E	[13, 13, 12, 12]
S??????_E?M?Y?H_R??GoDO?Ao?R??F??	E	[13, 13, 12, 12]
S??????_E?M?Y?H_R??GoDO?@o?T??F??	E	[13, 13, 12, 12]
S??????_E?M?Y?H_R??Go@o?P_?R??D_?	E	[13, 13, 12, 12]
S??????_E?M?Y?H_OK?M?@K?PO?T??oO?	E	[13, 13, 12, 12]
S??????_E?M?Y?H_OK?K_CS?L??T??`O?	E	[13, 13, 12, 12]
S??????_E?M?Y?H_OK?B_@c?T??s??PO?	E	[13, 13, 12, 12]
S??????_E?M?Y?H_OK?aO@o?E_?P_?o_?	E	[13, 13, 12, 12]
S??????_E?M?Y?H_OK?aO@o?EO?P_?p??	E	[13, 13, 12, 12]
S??????_E?M?Y?H_OK?IO?s?E_?p??o_?	E	[13, 13, 12, 12]
S??????_E?M?Y?H_OK?BO@o?EO?o_?p??	E	[13, 13, 12, 12]
S??????_E?M?Y?H_OK?_o@S?F??T??p??	E	[13, 13, 12, 12]
S??????_E?M?Y?H_OK?Ao@o?E_?p??o_?	E	[13, 13, 12, 12]
S??????_E?M?Y?HCQO?W_E_?@g?F??J??	E	[13, 13, 12, 12]
S??????_E?M?Y?HCQO?W_EO?D_?DO?F??	E	[13, 13, 12, 12]
S??????_E?M?Y?HCQO?W_Co?I_?BO?J??	E	[13, 13, 12, 12]
S??????_E?M?Y?HCQO?Q_F??D_?DO?F??	E	[13, 13, 12, 12]
S??????_E?M?Y?HCQO?Q_E_?@g?L??J??	E	[13, 13, 12, 12]
S??????_E?M?Y?HCQO?Q_EO?D_?DO?L??	E	[13, 13, 12, 12]
S??????_E?M?Y?HCQO?Q_Ao?B_?HO?h??	E	[13, 13, 12, 12]
S??????_E?M?Y?HCQO?I_CW?J??PO?L??	E	[13, 13, 12, 12]
S??????_E?M?Y?HCQO?I_CW?H_?SO?L??	E	[13, 13, 12, 12]
S??????_E?M?Y?HCQO?I_CW?D_?T??SO?	E	[13, 13, 12, 12]
S??????_E?M?Y?HCQO?B_DO?F??T??PO?	E	[13, 13, 12, 12]
S??????_E?M?Y?HCQO?B_CW?H_?[??KO?	E	[13, 13, 12, 12]
S??????_E?M?Y?HCQO?B_CW?D_?[??SO?	E	[13, 13, 12, 12]
S??????_E?M?Y?HCQO?B_CW?B_?[??WO?	E	[13, 13, 12, 12]
S??????_E?M?Y?HCQO?EO?w?D_?X??o_?	E	[13, 13, 12, 12]
S??????_E?M?Y?@a?M?g_Go?D_CS??p??	E	[13, 13, 12, 12]
S??????_E?M?Y?@a?M?g_@o?`_?s?CP??	E	[13, 13, 12, 12]
S??????_E?M?Y?@EAa?[?Co?I_CB?@B??	E	[13, 13, 12, 12]
S??????_E?M?Y?@EAa@E?@g?I_CQ??b??	E	[13, 13, 12, 12]
S??????_E?M?R?IACW?T?Cc?DOCB??h??	E	[13, 13, 12, 12]
S??????_E?M?R?IACW?T?Cc?DO?b?CH??	E	[13, 13, 12, 12]
S??????_E?M?R?IACW?L?@c?Oo?R?Ca??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@o?`O?P_?F??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@o?DO?D_?F?CD??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@o?_o?P_?J??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@o?_W?T??F??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@o?_W?R??J??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@o?_W?P_?M??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@g?DOA@_?F??T??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@g?BOA@_?F??d??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@g?BO?P_?F?CD??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@c?B_A@_?b??J??	T2	-
S??????_E?M?R??eDA@S?Co?S_CB??J??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA?s?H_?P_?J?CB??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA?s?KOA@_?J??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@a?@W?F??d?CP??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@Q?d??P_?F??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@Q?c_?P_?J??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@Q?cO?D_?L??d??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@Q?_o?P_?h??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@Q?cG?T??F??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@Q?_g?B_?h??i??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA@Q?_W?R??h??L??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA?q?L??D_?F?CD??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA?q?KGAC_?F??M??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA?q?DG?d??F?CD??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA?q?DGAA_?M?@B??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA?q?Cg?F?CB?@H??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA?q?CgAC_?M?@B??	E	[13, 13, 12, 12]
S??????_E?M?R??eDA?q?Cg?B_CI?@H??	E	[13, 13, 12, 12]
