graph6	class	class_sizes
O???C@_eCoI_@gPODO@E?	E	[10, 10, 10, 10]
O???C@_eCoB_P_OoCg@D?	T2	-
O???C@_eCoB_@o@oKOB@?	T2	-
O???C@_eCoIGY?H_?w?L?	T2	-
O???C@_eCoIGWOH_@o?L?	T2	-
O???C@_eCoAgQ_WO?s@K?	E	[10, 10, 10, 10]
O???C@_eCoAgOoY??s@K?	E	[10, 10, 10, 10]
O???C@_eCoGcS_I_?w@I?	T2	-
O???C@_eCoGcS_IO?w@K?	E	[10, 10, 10, 10]
O???C@_eEGM?H_D_@W?R?	E	[10, 10, 10, 10]
O???C@_eEGM?HOCo@S?[?	E	[10, 10, 10, 10]
O???C@_eEGM?BGE_CW?M?	E	[10, 10, 10, 10]
O???C@_eEGM?BGD_CW?U?	E	[10, 10, 10, 10]
O???C@_eEGM?AgGo@o?i?	E	[10, 10, 10, 10]
O???C@_eEGKOM?F??w?F?	E	[10, 10, 10, 10]
O???C@_eEGKOL?D_@W?R?	E	[10, 10, 10, 10]
O???C@_eEGKOK_Co@c?Y?	E	[10, 10, 10, 10]
O???C@_eEGKOKOCo@o?X?	E	[10, 10, 10, 10]
O???C@_eEGAoL?AgCWAQ?	E	[10, 10, 10, 10]
O???C@_eEGBCT?@oCW@S?	E	[10, 10, 10, 10]
O???C@_eEGBCS_J?CW?M?	E	[10, 10, 10, 10]
O???C@_eEGBCS_B_CW@I?	E	[10, 10, 10, 10]
O???C@_eEGAcS_J?CW?U?	E	[10, 10, 10, 10]
O???C@_eEGAcS_BOCW@S?	E	[10, 10, 10, 10]
O???C@_eEGAcSOH_DO?U?	E	[10, 10, 10, 10]
O???C@_eEGASU?IO?w@K?	E	[10, 10, 10, 10]
O???C@_eEGASU?BOCW@K?	E	[10, 10, 10, 10]
O???C@_eEGASU?AoCo@I?	E	[10, 10, 10, 10]
O???C@_eEGASSOHO@o@S?	E	[10, 10, 10, 10]
O???C@_eEGASSOBODO@K?	E	[10, 10, 10, 10]
O???C@_eCgJ?Y?H_?w?F?	T2	-
O???C@_eCgB_R?W_CW?F?	E	[10, 10, 10, 10]
O???C@_eCgB_Q_OoCg@D?	E	[10, 10, 10, 10]
O???C@_eCgB_Ao@oKOB@?	E	[10, 10, 10, 10]
O???C@_eCgIOR?J?CW?F?	E	[10, 10, 10, 10]
O???C@_eCgIOAWOoCo@W?	E	[10, 10, 10, 10]
O???C@_eCgBOQ_POCW@H?	E	[10, 10, 10, 10]
O???C@_eCgBOAoPOKO@H?	E	[10, 10, 10, 10]
O???C@_eCg@oR?OoEO@B?	E	[10, 10, 10, 10]
O???C@_eCg@oR?OoEG@D?	E	[10, 10, 10, 10]
O???C@_eCgIGBGQ_CW@K?	E	[10, 10, 10, 10]
O???C@_eCgAWOoW_D_?X?	E	[10, 10, 10, 10]
O???C@_eCgKCU?I_?w?M?	T2	-
O???C@_eCgKCU?H_@W?M?	E	[10, 10, 10, 10]
O???C@_eCgKCU?Go@o?M?	E	[10, 10, 10, 10]
O???C@_eCgKCSOI_?w?[?	E	[10, 10, 10, 10]
O???C@_eCgHC[?I_?w?M?	T2	-
O???C@_eCgHC[?H_@W?M?	E	[10, 10, 10, 10]
O???C@_eCgHC[?Go@o?M?	E	[10, 10, 10, 10]
O???C@_eCgHCS_J?CW?M?	E	[10, 10, 10, 10]
O???C@_eCgGS[?Go@o?Y?	E	[10, 10, 10, 10]
O???C@_eCKB_T?Y?CW?F?	E	[10, 10, 10, 10]
O???C@_eCKAgF?OoL?@D?	E	[10, 10, 10, 10]
O???C@_eEAM?BGE_?w@K?	E	[10, 10, 10, 10]
O???C@_eEAECT?I_?w?[?	E	[10, 10, 10, 10]
