n,a_max,num_anomalous_a,floor_1e9_rho
381,184,1,1004719599
382,184,1,1000399318
383,185,1,1004589425
384,185,1,1000645056
385,186,1,1004447012
386,186,1,1000874815
387,187,1,1004292624
388,187,1,1001088905
389,188,1,1004126522
390,188,1,1001287623
391,189,1,1003948959
392,189,1,1001471266
393,190,1,1003760185
394,190,1,1001640120
395,191,1,1003560441
396,191,1,1001794469
397,192,1,1003349966
398,192,1,1001934590
399,193,1,1003128993
400,193,1,1002060754
401,194,1,1002897749
402,194,1,1002173226
403,195,1,1002656457
404,195,1,1002272267
405,196,1,1002405336
406,196,1,1002358133
407,197,1,1002144597
408,197,1,1002431074
409,198,1,1001874451
410,198,1,1002491335
411,199,1,1001595102
412,199,1,1002539157
413,200,1,1001306749
414,200,1,1002574776
415,201,1,1001009588
416,201,1,1002598423
417,202,1,1000703812
418,202,1,1002610324
419,203,1,1000389607
420,203,1,1002610702
421,204,1,1000067158
422,204,1,1002599774
423,205,0,999736644
424,205,1,1002577754
425,206,0,999398241
426,206,1,1002544852
427,207,0,999052122
428,207,1,1002501273
429,208,0,998698455
430,208,1,1002447218
431,209,0,998337406
432,209,1,1002382885
433,210,0,997969136
434,210,1,1002308468
435,210,0,997889388
436,211,1,1002224157
437,211,0,998115252
438,212,1,1002130138
439,212,0,998328711
440,213,1,1002026593
441,213,0,998529973
442,214,1,1001913703
443,214,0,998719243
444,215,1,1001791642
445,215,0,998896723
446,216,1,1001660585
447,216,0,999062611
448,217,1,1001520699
449,217,0,999217100
450,218,1,1001372152
451,218,0,999360381
452,219,1,1001215105
453,219,0,999492643
454,220,1,1001049719
455,220,0,999614069
456,221,1,1000876151
457,221,0,999724839
458,222,1,1000694555
459,222,0,999825133
460,223,1,1000505081
461,223,0,999915124
462,224,1,1000307878
463,224,0,999994984
464,225,1,1000103092
465,225,1,1000064882
466,226,0,999890864
467,226,1,1000124983
468,227,0,999671336
469,227,1,1000175451
470,228,0,999444645
471,228,1,1000216445
472,229,0,999210926
473,229,1,1000248123
474,230,0,998970310
475,230,1,1000270639
476,231,0,998722929
477,231,1,1000284145
478,232,0,998468910
479,232,1,1000288791
480,233,0,998208378
481,233,1,1000284723
482,234,0,997941456
483,234,1,1000272085
484,235,0,997668265
485,235,1,1000251019
486,236,0,997388924
487,236,1,1000221665
488,237,0,997103549
489,237,1,1000184160
490,238,0,996812254
491,238,1,1000138637
492,239,0,996515151
493,239,1,1000085231
494,240,0,996212351
495,240,1,1000024070
496,240,0,996147103
497,241,0,999955284
498,241,0,996332712
499,242,0,999878997
500,242,0,996508873
501,243,0,999795333
502,243,0,996675726
503,244,0,999704414
504,244,0,996833409
505,245,0,999606360
506,245,0,996982059
507,246,0,999501289
508,246,0,997121808
509,247,0,999389315
510,247,0,997252789
511,248,0,999270553
512,248,0,997375131
513,249,0,999145115
514,249,0,997488961
515,250,0,999013110
516,250,0,997594405
517,251,0,998874647
518,251,0,997691587
519,252,0,998729832
520,252,0,997780629
521,253,0,998578770
522,253,0,997861649
523,254,0,998421564
524,254,0,997934768
525,255,0,998258314
526,255,0,998000099
527,256,0,998089122
528,256,0,998057759
529,257,0,997914083
530,257,0,998107859
531,258,0,997733296
532,258,0,998150511
533,259,0,997546854
534,259,0,998185823
535,260,0,997354852
536,260,0,998213904
537,261,0,997157380
538,261,0,998234859
539,262,0,996954529
540,262,0,998248793
541,263,0,996746387
542,263,0,998255808
543,264,0,996533043
544,264,0,998256006
545,265,0,996314582
546,265,0,998249486
547,266,0,996091088
548,266,0,998236346
549,267,0,995862645
550,267,0,998216684
551,268,0,995629335
552,268,0,998190594
553,269,0,995391239
554,269,0,998158170
555,270,0,995148435
556,270,0,998119505
557,271,0,994901001
558,271,0,998074690
559,272,0,994649015
560,272,0,998023814
561,272,0,994594952
562,273,0,997966966
563,273,0,994749324
564,274,0,997904232
565,274,0,994896376
566,275,0,997835699
567,275,0,995036205
568,276,0,997761451
569,276,0,995168906
570,277,0,997681571
571,277,0,995294573
572,278,0,997596141
573,278,0,995413298
574,279,0,997505242
575,279,0,995525173
576,280,0,997408954
577,280,0,995630287
578,281,0,997307355
579,281,0,995728730
580,282,0,997200522
581,282,0,995820589
582,283,0,997088531
583,283,0,995905949
584,284,0,996971458
585,284,0,995984897
586,285,0,996849377
587,285,0,996057517
588,286,0,996722359
589,286,0,996123890
590,287,0,996590478
591,287,0,996184100
592,288,0,996453804
593,288,0,996238226
594,289,0,996312406
595,289,0,996286347
596,290,0,996166353
597,290,0,996328543
598,291,0,996015714
599,291,0,996364891
600,292,0,995860554
601,292,0,996395467
602,293,0,995700940
603,293,0,996420345
604,294,0,995536937
605,294,0,996439601
606,295,0,995368608
607,295,0,996453308
608,296,0,995196016
609,296,0,996461538
610,297,0,995019224
611,297,0,996464362
612,298,0,994838292
613,298,0,996461850
614,299,0,994653282
615,299,0,996454072
616,300,0,994464252
617,300,0,996441096
618,301,0,994271262
619,301,0,996422991
620,302,0,994074369
621,302,0,996399821
622,303,0,993873629
623,303,0,996371654
624,304,0,993669100
625,304,0,996338554
626,305,0,993460837
627,305,0,996300585
628,306,0,993248893
629,306,0,996257810
630,306,0,993203597
631,307,0,996210292
632,307,0,993333362
633,308,0,996158092
634,308,0,993457370
635,309,0,996101270
636,309,0,993575688
637,310,0,996039888
638,310,0,993688383
639,311,0,995974002
640,311,0,993795523
641,312,0,995903673
642,312,0,993897172
643,313,0,995828958
644,313,0,993993395
645,314,0,995749912
646,314,0,994084256
647,315,0,995666593
648,315,0,994169817
649,316,0,995579056
650,316,0,994250142
651,317,0,995487355
652,317,0,994325290
653,318,0,995391545
654,318,0,994395324
655,319,0,995291678
656,319,0,994460303
657,320,0,995187806
658,320,0,994520286
659,321,0,995079983
660,321,0,994575332
661,322,0,994968258
662,322,0,994625499
663,323,0,994852683
664,323,0,994670843
665,324,0,994733306
666,324,0,994711421
667,325,0,994610178
668,325,0,994747289
669,326,0,994483348
670,326,0,994778501
671,327,0,994352861
672,327,0,994805113
673,328,0,994218768
674,328,0,994827178
675,329,0,994081112
676,329,0,994844748
677,330,0,993939942
678,330,0,994857877
679,331,0,993795303
680,331,0,994866615
681,332,0,993647239
682,332,0,994871015
683,333,0,993495794
684,333,0,994871127
685,334,0,993341014
686,334,0,994867000
687,335,0,993182940
688,335,0,994858684
689,336,0,993021615
690,336,0,994846228
691,337,0,992857083
692,337,0,994829680
693,338,0,992689384
694,338,0,994809087
695,339,0,992518559
696,339,0,994784496
697,340,0,992344649
698,340,0,994755955
699,341,0,992167694
700,341,0,994723508
701,342,0,991987734
702,342,0,994687201
703,342,0,991949407
704,343,0,994647079
705,343,0,992059525
706,344,0,994603187
707,344,0,992165054
708,345,0,994555567
709,345,0,992266042
710,346,0,994504264
711,346,0,992362537
712,347,0,994449319
713,347,0,992454587
714,348,0,994390776
715,348,0,992542240
716,349,0,994328676
717,349,0,992625540
718,350,0,994263060
719,350,0,992704536
720,351,0,994193968
721,351,0,992779272
722,352,0,994121442
723,352,0,992849792
724,353,0,994045521
725,353,0,992916143
726,354,0,993966245
727,354,0,992978367
728,355,0,993883651
729,355,0,993036509
730,356,0,993797779
731,356,0,993090611
732,357,0,993708667
733,357,0,993140716
734,358,0,993616352
735,358,0,993186866
736,359,0,993520871
737,359,0,993229103
738,360,0,993422261
