n,m,status,solutions,nodes,depth_nodes,seconds
8,60,NONE,0,171,"1,5,20,57,76,12,0,0",0.0
8,61,NONE,0,390,"1,7,30,98,184,69,1,0",0.0
8,62,NONE,0,898,"1,8,40,157,389,274,29,0",0.0
8,63,NONE,0,2061,"1,9,52,234,714,808,243,0",0.0
8,64,NONE,0,4586,"1,10,66,337,1221,1983,968,0",0.0
8,65,NONE,0,9063,"1,11,83,470,1972,4278,2248,0",0.001
8,66,NONE,0,16912,"1,13,102,629,3045,8421,4701,0",0.001
8,67,NONE,0,28854,"1,14,120,830,4503,15396,7990,0",0.002
8,68,NONE,0,49600,"1,15,141,1060,6468,26447,15468,0",0.017
8,69,NONE,0,76108,"1,16,164,1345,9038,42734,22810,0",0.005
8,70,NONE,0,122132,"1,17,189,1663,12343,65372,42547,0",0.008
8,71,NONE,0,170634,"1,19,217,2043,16563,94511,57280,0",0.012
8,72,NONE,0,258538,"1,20,246,2471,21799,134880,99121,0",0.02
8,73,NONE,0,340234,"1,21,277,2977,28292,184321,124345,0",0.026
8,74,NONE,0,506551,"1,22,309,3532,36213,257323,209151,0",0.041
8,75,NONE,0,629013,"1,23,345,4174,45746,338971,239753,0",0.05
8,76,NONE,0,934348,"1,25,381,4894,57339,460928,410780,0",0.076
8,77,NONE,0,1112502,"1,26,420,5686,70718,588809,446842,0",0.093
8,78,NONE,0,1548485,"1,27,461,6577,86770,775921,678728,0",0.124
8,79,NONE,0,1840080,"1,28,505,7576,104941,963704,763325,0",0.15
8,80,NONE,0,2597296,"1,30,553,8670,127057,1238267,1222718,0",0.214
8,81,NONE,0,2836663,"1,31,599,9896,151633,1486746,1187757,0",0.234
8,82,NONE,0,3909232,"1,32,649,11224,181646,1873552,1842128,0",0.31
8,83,NONE,0,4320080,"1,33,702,12693,214157,2208219,1884275,0",0.365
8,84,FOUND,1,1406,"1,35,758,4,4,28,575,1",0.001
9,84,NONE,0,1,"1,0,0,0,0,0,0,0,0",0.0
9,85,NONE,0,1,"1,0,0,0,0,0,0,0,0",0.0
