name,status,comment,set_index,verdict,detail
"SDS(182,38,2,[182])",Yes,"Orbit Exhaust, assuming multiplier 3",8,INVALID,autocorrelation at d=1 is 0 != lam=2
"SDS(182,38,2,[182])",Yes,"Orbit Exhaust, assuming multiplier 3",9,INVALID,autocorrelation at d=1 is 4 != lam=2
"SDS(182,38,2,[182])",Yes,"Orbit Exhaust, assuming multiplier 3",10,INVALID,autocorrelation at d=1 is 0 != lam=2
"SDS(182,38,2,[182])",Yes,"Orbit Exhaust, assuming multiplier 3",11,INVALID,autocorrelation at d=2 is 4 != lam=2
"SDS(187,97,48,[187])",All,Prime Power Pair,0,VALID,
"SDS(19,10,3,[19])",All,Paley and zero,0,VALID,
"SDS(19,13,2,[19])",All,Orbit exhaust,0,VALID,
"SDS(19,13,6,[19])",All,Orbit exhaust,0,VALID,
"SDS(191,96,46,[191])",Yes,Orbit exhaust with forced multiplier,0,INVALID,autocorrelation at d=4 is 48 != lam=46
"SDS(193,192,-1,[193])",Yes,Paley,0,VALID,
"SDS(197,196,-1,[197])",Yes,Paley,0,VALID,
"SDS(199,100,48,[199])",Yes,Orbit exhaust with forced multiplier,0,INVALID,autocorrelation at d=1 is 50 != lam=48
"SDS(20,11,2,[20])",All,Orbit Exhaust,0,INVALID,autocorrelation at d=3 is 0 != lam=2
"SDS(20,11,2,[20])",All,Orbit Exhaust,1,INVALID,autocorrelation at d=4 is 0 != lam=2
"SDS(20,11,2,[20])",All,Orbit Exhaust,2,INVALID,autocorrelation at d=1 is 0 != lam=2
"SDS(20,11,2,[20])",All,Orbit Exhaust,3,INVALID,autocorrelation at d=1 is 4 != lam=2
"SDS(200,151,102,[200])",All,Orbit Exhaust,0,INVALID,autocorrelation at d=1 is 100 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,1,INVALID,autocorrelation at d=1 is 108 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,2,INVALID,autocorrelation at d=1 is 104 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,3,INVALID,autocorrelation at d=2 is 106 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,4,INVALID,autocorrelation at d=1 is 100 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,5,INVALID,autocorrelation at d=3 is 104 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,6,INVALID,autocorrelation at d=1 is 106 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,7,INVALID,autocorrelation at d=5 is 104 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,8,INVALID,autocorrelation at d=1 is 100 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,9,INVALID,autocorrelation at d=1 is 106 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,10,INVALID,autocorrelation at d=2 is 104 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,11,INVALID,autocorrelation at d=2 is 100 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,12,INVALID,autocorrelation at d=1 is 100 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,13,INVALID,autocorrelation at d=1 is 106 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,14,INVALID,autocorrelation at d=3 is 104 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,15,INVALID,autocorrelation at d=2 is 100 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,16,INVALID,autocorrelation at d=1 is 106 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,17,INVALID,autocorrelation at d=2 is 104 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,18,INVALID,autocorrelation at d=1 is 104 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,19,INVALID,autocorrelation at d=1 is 104 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,20,INVALID,autocorrelation at d=1 is 104 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,21,INVALID,autocorrelation at d=2 is 104 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,22,INVALID,autocorrelation at d=1 is 104 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,23,INVALID,autocorrelation at d=1 is 100 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,24,INVALID,autocorrelation at d=2 is 100 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,25,INVALID,autocorrelation at d=1 is 106 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,26,INVALID,autocorrelation at d=2 is 110 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,27,INVALID,autocorrelation at d=1 is 104 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,28,INVALID,autocorrelation at d=2 is 104 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,29,INVALID,autocorrelation at d=1 is 104 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,30,INVALID,autocorrelation at d=1 is 100 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,31,INVALID,autocorrelation at d=1 is 104 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,32,INVALID,autocorrelation at d=4 is 100 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,33,INVALID,autocorrelation at d=1 is 100 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,34,INVALID,autocorrelation at d=1 is 100 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,35,INVALID,autocorrelation at d=1 is 98 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,36,INVALID,autocorrelation at d=2 is 104 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,37,INVALID,autocorrelation at d=1 is 104 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,38,INVALID,autocorrelation at d=1 is 100 != lam=102
"SDS(200,151,102,[200])",All,Orbit Exhaust,39,INVALID,autocorrelation at d=1 is 104 != lam=102
"SDS(219,172,108,[219])",All,Orbit exhaust,0,VALID,
"SDS(219,83,19,[219])",All,Orbit exhaust,0,VALID,
"SDS(227,114,55,[227])",All,Paley and zero,0,VALID,
"SDS(229,172,13,[229])",All,Orbit Exhaust,0,VALID,
"SDS(229,228,-1,[229])",Yes,Paley,0,VALID,
"SDS(23,12,4,[23])",All,Paley and zero,0,VALID,
"SDS(233,232,-1,[233])",Yes,Paley,0,VALID,
"SDS(241,240,-1,[241])",Yes,Paley,0,VALID,
"SDS(243,242,161,[3,3,3,3,3])",Yes,"PDS construction of He, Chen and Ge",0,VALID,
"SDS(247,127,63,[247])",All,Prime Power Pair,0,INVALID,autocorrelation at d=3 is 61 != lam=63
