utc,name,db_status,decision,witnesses,verified,wall_s,result_line,cmd,engine_sha256,source_sha256
2026-08-09T12:16:58Z,"SDS(17,16,-1,[17])",Yes,EXIST,16,True,0.023,"RESULT SDS(17,16,-1,[17]) EXIST nP=8 nM=8 nodes=98088 witnesses=16 mode=reduced0P secs=0.019",./sds_search 17 16 -1 17 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(17,16,3,[17])",No,NONEXIST,0,True,0.009,"RESULT SDS(17,16,3,[17]) NONEXIST nP=12 nM=4 nodes=31426 witnesses=0 mode=reduced0P secs=0.005",./sds_search 17 16 3 17 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(17,16,8,[17])",No,NONEXIST,0,True,0.002,"RESULT SDS(17,16,8,[17]) NONEXIST nP=14 nM=2 nodes=2450 witnesses=0 mode=reduced0P secs=0.000",./sds_search 17 16 8 17 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(17,9,1,[17])",No,NONEXIST,0,True,0.056,"RESULT SDS(17,9,1,[17]) NONEXIST nP=7 nM=2 nodes=276206 witnesses=0 mode=reduced0P secs=0.054",./sds_search 17 9 1 17 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(18,13,4,[18])",No,NONEXIST,0,True,0.076,"RESULT SDS(18,13,4,[18]) NONEXIST nP=11 nM=2 nodes=330350 witnesses=0 mode=reduced0P secs=0.074",./sds_search 18 13 4 18 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(18,13,4,[3,6])",Yes,EXIST,50,True,0.071,"RESULT SDS(18,13,4,[3,6]) EXIST nP=11 nM=2 nodes=324536 witnesses=396 mode=reduced0P secs=0.070","./sds_search 18 13 4 3,6 --cap=50",f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(18,15,2,[18])",No,NONEXIST,0,True,0.114,"RESULT SDS(18,15,2,[18]) NONEXIST nP=11 nM=4 nodes=536154 witnesses=0 mode=reduced0P secs=0.111",./sds_search 18 15 2 18 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(18,15,2,[3,6])",Open,NONEXIST,0,True,0.111,"RESULT SDS(18,15,2,[3,6]) NONEXIST nP=11 nM=4 nodes=522207 witnesses=0 mode=reduced0P secs=0.109","./sds_search 18 15 2 3,6 --cap=50",f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(19,10,3,[19])",All,EXIST,18,True,0.074,"RESULT SDS(19,10,3,[19]) EXIST nP=9 nM=1 nodes=366124 witnesses=18 mode=reduced0P secs=0.072",./sds_search 19 10 3 19 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(19,13,2,[19])",All,EXIST,50,True,0.550,"RESULT SDS(19,13,2,[19]) EXIST nP=10 nM=3 nodes=2439962 witnesses=60 mode=reduced0P secs=0.548",./sds_search 19 13 2 19 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
