a,b,c,L,exact,degenerate,nodes,secs,word
3,4,8,155,0,0,400000104,7.463,"0,3,0,4,0,3,0,8,0,3,0,4,3,8,3,4,3,0,3,4,8,3,8,0,8,3,8,4,8,0,4,0,3,0,8,0,3,0,4,3,0,3,8,3,4,3,0,4,0,8,4,8,3,4,3,0,3,8,3,4,8,3,8,0,8,3,8,4,8,0,4,8,4,3,8,3,0,3,8,4,8,3,8,0,3,0,4,0,3,8,3,0,3,4,0,4,8,0,4,0,3,0,8,0,3,0,4,3,0,3,8,3,4,3,8,3,0,8,0,4,3,0,8,3,8,4,8,0,8,4,8,3,4,8,0,4,0,3,0,8,3,0,3,4,3,0,3,8,3,4,8,0,8,3,0"
1,5,8,195,0,0,400000196,7.903,"0,1,0,5,0,1,0,8,0,1,0,5,1,0,1,8,1,0,1,5,1,8,5,0,5,1,8,5,8,0,5,0,1,8,1,5,0,1,0,8,0,5,8,1,8,5,8,0,5,0,1,5,0,5,8,5,1,5,8,5,0,8,5,8,1,8,5,8,0,8,1,0,8,0,5,8,1,8,5,8,0,5,1,5,0,5,8,5,0,1,8,0,8,5,0,1,8,1,0,1,5,0,5,8,5,0,1,5,1,8,1,0,1,5,0,1,0,8,0,1,0,5,1,5,8,0,1,0,5,0,8,1,8,0,8,5,0,5,1,5,8,5,0,8,5,8,1,8,5,8,0,8,1,0,8,0,5,0,1,5,1,8,0,1,0,5,0,1,0,8,0,5,1,5,8,0,8,1,8,5,8,1,8,0,1,5,1,0,1,8,1,0,5,8,0"
2,5,8,189,0,0,400000088,7.659,"0,2,0,5,0,2,0,8,0,2,5,2,0,2,5,8,5,0,5,8,2,8,5,8,0,2,0,5,0,8,2,8,5,8,0,8,5,8,2,5,0,5,8,2,5,2,0,2,8,2,0,2,5,0,2,0,8,5,2,8,0,8,5,0,5,2,8,5,2,0,2,8,0,2,0,5,0,2,0,8,0,5,8,0,8,2,0,2,5,0,2,8,0,8,5,8,2,5,2,0,2,5,8,2,8,0,2,0,5,0,2,8,0,8,5,8,0,8,2,8,5,0,2,0,8,2,8,5,8,2,8,0,8,5,2,5,8,5,2,0,2,8,2,5,2,8,2,0,8,0,5,8,2,0,2,5,0,2,0,8,0,5,8,0,8,2,5,2,8,2,5,0,8,5,8,2,5,0,2,0,8,0,5,8,0,8,2,5,8"
3,5,8,60,1,1,7627116,0.098,"0,8,5,0,3,8,3,5,8,5,0,5,8,3,8,5,8,3,0,3,5,0,5,8,5,0,3,0,5,0,3,8,3,0,3,8,5,8,3,8,0,3,0,5,8,5,0,5,8,3,8,5,8,0,5,0,3,8,5,3"
1,6,8,231,0,0,400000116,8.213,"0,1,0,6,0,1,0,8,0,1,0,6,1,0,1,8,1,0,1,6,1,8,6,0,6,1,8,1,0,8,1,8,6,8,0,8,6,8,1,6,8,6,0,6,8,6,1,6,0,1,8,0,1,6,1,0,8,1,8,6,1,8,1,0,6,1,0,8,0,1,6,0,6,8,0,6,0,1,0,8,0,1,0,6,1,0,1,8,1,0,1,6,1,8,6,1,6,0,1,0,8,1,8,6,8,1,0,8,0,6,8,6,1,6,8,6,0,6,1,0,1,8,0,8,6,0,8,1,0,1,6,1,0,1,8,1,6,0,6,8,6,1,8,1,0,8,1,8,6,8,0,8,6,8,1,6,8,6,0,6,8,6,1,6,0,1,8,1,6,8,6,0,8,6,8,1,8,0,1,6,1,0,1,8,0,1,6,8,6,1,6,0,1,0,8,0,1,0,6,0,1,8,1,6,8,1,8,0,8,6,8,1,6,8,6,0,1,0,8,0,6,8,6,1,0,6,8,6,0,6,8"
1,7,8,60,1,1,7703388,0.099,"0,8,1,0,7,8,7,1,8,1,0,1,8,7,8,1,8,7,0,7,1,0,1,8,1,0,7,0,1,0,7,8,7,0,7,8,1,8,7,8,0,7,0,1,8,1,0,1,8,7,8,1,8,0,1,0,7,8,1,7"
1,2,9,208,0,0,400000224,8.208,"0,1,0,2,0,1,0,9,0,1,0,2,1,0,1,9,2,0,2,1,2,9,0,9,1,2,9,0,2,0,1,0,9,0,2,9,0,9,1,9,2,9,0,2,9,2,1,2,0,2,9,0,9,1,9,0,2,0,1,0,9,2,1,2,0,1,0,9,0,1,0,2,1,0,1,9,2,0,2,1,2,9,2,1,2,0,1,9,1,0,1,2,0,1,9,2,0,9,2,9,1,9,2,0,9,0,1,0,9,0,2,0,1,2,1,9,0,1,2,9,2,0,9,2,9,1,9,2,9,0,9,1,0,9,0,2,9,1,9,2,9,0,2,0,1,0,2,9,0,9,1,0,9,0,2,0,1,0,2,0,9,2,0,2,1,2,0,2,9,2,1,9,0,9,1,9,2,9,1,0,2,0,1,0,9,0,1,2,9,1,9,0,9,1,9,2,9,0,2,9,2,1,9,0,1,0,2,1"
1,3,9,192,0,0,400000184,8.072,"0,1,0,3,0,1,0,9,0,1,0,3,1,0,1,9,1,3,1,0,3,0,9,1,3,9,3,0,3,9,1,0,1,3,0,1,0,9,0,1,0,3,0,9,3,0,3,1,9,3,9,0,9,3,9,1,9,0,1,0,3,9,1,9,3,9,0,9,3,1,9,3,0,3,1,3,9,1,0,1,9,1,3,9,0,3,9,1,9,3,0,9,0,1,0,3,1,0,1,9,3,0,3,9,3,1,9,0,3,0,1,3,1,9,1,0,1,3,0,1,0,9,0,1,0,3,1,3,9,0,1,0,3,0,9,0,3,0,1,3,1,9,3,0,3,9,1,9,3,0,9,0,1,9,1,3,1,0,3,0,9,0,1,3,9,1,9,0,9,1,9,3,9,0,3,9,3,1,9,1,0,9,3,0,3,1,3,9,1,0,1,9"
2,3,9,170,0,0,400000164,7.945,"0,2,0,3,0,2,0,9,0,2,0,3,2,0,2,9,2,0,2,3,2,9,3,2,3,0,9,3,9,2,9,0,9,2,9,3,2,9,0,3,2,0,2,9,0,9,3,0,2,0,3,9,3,2,3,0,2,0,9,2,0,2,3,0,2,0,9,3,0,3,2,3,0,3,9,3,0,2,9,0,3,0,2,9,2,3,2,9,0,9,2,3,9,3,0,3,2,3,9,2,9,0,9,2,9,3,9,0,3,9,3,2,3,0,3,2,3,9,2,9,0,9,3,9,2,3,0,3,2,9,2,0,2,3,0,9,3,2,3,0,2,0,9,0,3,0,2,3,0,3,9,3,2,9,2,0,9,0,3,2,3,0,9,3,0,2,0,9,0,2"
1,4,9,236,0,0,400000180,9.078,"0,1,0,4,0,1,0,9,0,1,0,4,1,0,1,9,1,0,1,4,1,9,4,0,9,0,1,0,4,1,0,1,9,4,0,4,9,4,1,9,1,0,9,1,9,4,9,0,9,4,9,1,4,9,4,0,4,1,4,0,4,9,0,1,4,1,9,1,0,9,4,9,0,9,1,0,1,4,0,9,0,4,0,1,4,1,9,1,0,1,4,0,1,0,9,0,1,0,4,0,9,4,0,4,1,0,9,0,1,0,4,1,4,9,1,0,1,9,4,9,1,0,9,4,0,4,1,4,0,4,9,4,1,9,4,9,0,1,0,4,9,4,1,0,1,4,9,1,9,0,1,0,4,9,4,1,9,4,9,0,9,4,9,1,9,0,1,9,1,4,9,0,4,9,4,1,9,1,0,1,4,1,0,1,9,0,4,1,4,0,4,9,0,9,1,0,1,4,0,1,9,0,9,4,9,1,9,4,9,0,4,1,4,9,0,9,1,0,1,4,0,4,9,4,0,1,0,4,0,9,4,9,1,0,9,0"
