cube,status,seconds,conflicts,proof_sha256,note
37.-31.43.33.-41.-34.-40.-29,UNSAT,0.03,801,341b1f838ed6b9fc591a64323a4a1fced34d2ee6e6418cf94389da3c46bdf087,40020
37.-31.43.-33.41.34.40.-29,UNSAT,0.01,621,d97a7fb18314efaaf0d88e0070e69cda40e77e8ff24736b850a2d2a5b6fcd386,29625
37.-31.43.-33.41.34.-40.29,UNSAT,0.08,2272,a9bd4b850889cc660fa96561d01d0000bd66b2203c38c09258a9d6c9c56089f3,127307
37.-31.43.-33.41.34.40.29,UNSAT,0.11,3673,7c40dca462e034c241162066b27d973c0c03182e5dcf69f2e4c3cda1acb0d6f1,215969
37.-31.43.-33.41.-34.40.29,INDET,0.02,,,
37.-31.43.-33.41.-34.40.29,SPLIT,0.02,,,->16 kids
37.-31.43.-33.41.-34.40.-29,UNSAT,0.00,219,bbf8c0e6f96a2b50664413656fc3c5d6f9e9e829f4cb12f689e5a27e838d17c4,15359
37.-31.43.-33.41.34.-40.-29,UNSAT,0.01,698,5fc2ef12208d49ce994e3d747c186157626fefee0ef1cca964cf1808cea7761b,34500
37.-31.43.-33.41.-34.-40.-29,UNSAT,0.02,294,f99072c761638efe742dae1e1508ea201dfb59252d33f05298256f8f6b208840,28127
37.-31.43.-33.41.-34.-40.29,UNSAT,0.04,963,aca0bff245c121e53453aaa3a4cc5c1d9eca1c076562ab1934093e1a997e991d,46084
37.-31.43.-33.-41.34.40.-29,UNSAT,0.02,548,150635d939165295b1b54587e57907b57c36b56587570ba2c96acfd37190cec7,28255
37.-31.43.-33.-41.34.-40.29,UNSAT,0.02,951,19c295dd435de2750103d8cd12bb4fabef369b5d1c24c88c1f0e34eddad74a0a,49539
37.-31.43.-33.-41.34.40.29,UNSAT,0.08,2030,8bea7191c1282445a3c4a02a8f7a4ed43891b6652e5760a765d2183e66a4e160,117109
37.-31.43.-33.-41.34.-40.-29,UNSAT,0.01,627,645cafdd384b686ccc0e2db270917e2a8bb15436147f410a6d74df2b4f97ffca,34957
37.-31.43.-33.-41.-34.40.-29,UNSAT,0.00,395,0d29a1884d5b8d3467765480c89be746382529b3d37482957eebfa342c13230c,25492
37.-31.43.-33.-41.-34.40.29,UNSAT,0.04,1417,20aeb0cb221d39d26b41c6f0e73ffe7792843911339d73b6c92c0ac6b92453ce,86370
37.-31.43.-33.-41.-34.-40.29,UNSAT,0.01,686,a674e8a2519cae11b9c197f151a99ab5d952c523c9db7ab060d2e240cfa87a8a,34701
37.-31.43.-33.-41.-34.-40.-29,UNSAT,0.01,239,ba6354d7150209ee00b868147311c2587dbcc03c9427063268953e0d63434794,16211
37.31.-43.-33.41.34.40.-29,UNSAT,0.05,1563,179a6974638a8499fe61bf60860d61cea8391effff2dfa09c829bb3a2cbbb714,73897
37.31.-43.-33.41.34.40.29,UNSAT,0.07,3037,88a1218b90de71dbbf155c032cb876ff362816dc4023e5d8441b177f4fbd8e2e,191600
37.31.-43.-33.41.34.-40.29,UNSAT,0.07,1928,6cafa3d3d7db020ffbd1943ed713d8b9d00a911a7a5696ecc9e305d3c4662dd8,92962
37.31.-43.-33.41.34.-40.-29,UNSAT,0.03,1756,d7f38197e8c9078e3cdea973646915b7f0a9441ea01a48eadb09087dc78f99f4,79561
37.31.-43.-33.41.-34.40.29,UNSAT,0.02,2070,f2642b752e5323d8f70dc43827989cfaaa1dee6dc7dc496a3ed84f0bd226ce7f,122340
37.31.-43.-33.41.-34.-40.29,UNSAT,0.01,1285,84e3318716047e4d01be34d2090c7b73ad4690060379a5a7ef69aab2071d4296,63000
