p=41 t=28 rank=152200000 tier=2 A=1,2,3,4,5,6,7,8,10,11,12,13,16,17,18,19,20,21,25,26,27,28,29,30,34,36,37,38 wit=36,1,26,17,11,6,27,37,38,25,2,19,29,30,10,3,4,20,7,12,21,34,28,18,13,8,16,5
p=41 t=28 rank=154300000 tier=2 A=1,2,3,4,5,6,7,8,10,11,12,14,15,16,17,18,19,20,23,24,25,26,27,29,30,34,35,38 wit=34,11,8,4,26,35,27,30,7,17,2,1,3,19,29,23,24,16,15,5,25,10,18,6,20,12,14,38
p=41 t=28 rank=154800000 tier=2 A=1,2,3,4,5,6,7,8,10,11,12,14,15,16,17,18,24,25,26,27,30,31,32,33,34,35,36,37 wit=10,2,31,15,30,36,24,25,12,8,11,34,3,16,37,6,33,18,5,17,35,32,26,4,1,14,7,27
p=41 t=28 rank=155800000 tier=2 A=1,2,3,4,5,6,7,8,10,11,12,14,15,16,19,20,21,22,23,24,25,26,27,28,29,32,35,36 wit=8,20,16,36,26,35,3,10,24,27,1,32,28,2,7,6,12,19,23,29,4,5,11,22,21,15,25,14
p=41 t=28 rank=159600000 tier=2 A=1,2,3,4,5,6,7,8,10,11,12,15,16,17,18,19,20,22,25,26,28,29,30,31,32,33,34,36 wit=30,6,33,22,2,12,3,36,32,10,19,16,15,34,18,31,8,11,7,17,25,20,28,4,26,1,29,5
p=41 t=28 rank=159800000 tier=2 A=1,2,3,4,5,6,7,8,10,11,12,15,16,17,18,20,21,22,25,26,27,28,29,30,33,36,37,38 wit=30,36,25,33,7,4,1,38,27,10,8,26,20,17,28,15,37,18,16,12,2,22,6,29,5,3,21,11
p=41 t=28 rank=163600000 tier=2 A=1,2,3,4,5,6,7,8,10,11,13,14,15,16,17,20,21,24,25,26,27,30,32,33,34,35,36,38 wit=8,20,36,13,10,1,5,33,6,30,2,14,15,24,25,34,3,26,16,32,35,21,17,4,38,7,11,27
p=41 t=28 rank=164300000 tier=2 A=1,2,3,4,5,6,7,8,10,11,13,14,15,16,19,20,21,24,25,26,27,28,30,32,33,35,36,37 wit=4,10,19,15,16,8,30,33,26,25,14,35,13,37,27,21,24,36,32,20,7,2,6,1,11,28,5,3
p=41 t=28 rank=168100000 tier=2 A=1,2,3,4,5,6,7,8,10,11,13,15,16,17,18,19,21,22,24,25,26,27,30,31,32,35,36,37 wit=32,7,35,8,37,25,4,15,18,31,17,19,3,10,30,27,16,24,5,1,6,2,26,22,13,11,21,36
p=41 t=28 rank=168400000 tier=2 A=1,2,3,4,5,6,7,8,10,11,13,15,16,17,18,23,25,26,27,28,30,31,32,33,34,36,37,38 wit=16,33,34,38,36,31,7,23,2,25,10,3,8,1,26,11,13,5,32,37,6,27,15,4,18,28,30,17
