i,c_i,se
2.000000000000000000e+02,1.711711002455962305e-02,4.314985649337848189e-05
2.010000000000000000e+02,2.867226830692402861e-02,5.832903452623283512e-05
2.020000000000000000e+02,2.440837432687543301e-02,5.554895092658781596e-05
2.030000000000000000e+02,4.235481847572885455e-02,7.523988371756150611e-05
2.040000000000000000e+02,2.011552375038216586e-02,5.073855976257449609e-05
2.050000000000000000e+02,3.474641172368141823e-02,6.914183848693714388e-05
2.060000000000000000e+02,3.052618517044559249e-02,6.656033842119167749e-05
2.070000000000000000e+02,5.443664734135568450e-02,9.082661301631083674e-05
2.080000000000000000e+02,1.611765561739231245e-02,4.081583650867518230e-05
2.090000000000000000e+02,2.688370154794181288e-02,5.490938115707085681e-05
2.100000000000000000e+02,2.267286723588096686e-02,5.186879266598464747e-05
2.110000000000000000e+02,3.922466566165785234e-02,7.020652725839278765e-05
2.120000000000000000e+02,1.832209496738078716e-02,4.688917144914640203e-05
2.130000000000000000e+02,3.148912043451890241e-02,6.375499998401766935e-05
2.140000000000000000e+02,2.747526661102597800e-02,6.117341984611789226e-05
2.150000000000000000e+02,4.875964648273835300e-02,8.352274833181376999e-05
2.160000000000000000e+02,1.623360890801437209e-02,4.336763241534071054e-05
2.170000000000000000e+02,2.739331184129851701e-02,5.852780628126484771e-05
2.180000000000000000e+02,2.342795975072371403e-02,5.582532111930262525e-05
2.190000000000000000e+02,4.099061705935870548e-02,7.610049477353635701e-05
2.200000000000000000e+02,1.938464558878230659e-02,5.141263503430517192e-05
2.210000000000000000e+02,3.387766673445701676e-02,7.047266218439077483e-05
2.220000000000000000e+02,3.002262868330317358e-02,6.818711357898771632e-05
2.230000000000000000e+02,5.406739019036976152e-02,9.355054740773004966e-05
2.240000000000000000e+02,1.499859635515138519e-02,3.918277981490205636e-05
2.250000000000000000e+02,2.518617407700295130e-02,5.282368939174631118e-05
2.260000000000000000e+02,2.123166223700655164e-02,4.979254193727311362e-05
2.270000000000000000e+02,3.693793890111210509e-02,6.750498232452093014e-05
2.280000000000000000e+02,1.711978330821171262e-02,4.497805966511457331e-05
2.290000000000000000e+02,2.957428423832356851e-02,6.113290812813459128e-05
2.300000000000000000e+02,2.577637044479263312e-02,5.850785092475368782e-05
2.310000000000000000e+02,4.589698534791419871e-02,7.975932787696129219e-05
2.320000000000000000e+02,1.494679770822823078e-02,4.060465067645694845e-05
2.330000000000000000e+02,2.535985211668101424e-02,5.528498593180664977e-05
2.340000000000000000e+02,2.160445539782506613e-02,5.238477368731676685e-05
2.350000000000000000e+02,3.794336916226024453e-02,7.166353539021044522e-05
2.360000000000000000e+02,1.784174251654247270e-02,4.826464771090935253e-05
2.370000000000000000e+02,3.125381270361071023e-02,6.634719566796321651e-05
2.380000000000000000e+02,2.763054929723404371e-02,6.389061914850507548e-05
2.390000000000000000e+02,4.985705814446757256e-02,8.790467569656883727e-05
2.400000000000000000e+02,1.412718800359343517e-02,3.852781817497508897e-05
2.410000000000000000e+02,2.389266826247796530e-02,5.232498699940134665e-05
2.420000000000000000e+02,2.024192865699777841e-02,4.955057573569522108e-05
2.430000000000000000e+02,3.540895971856763275e-02,6.754524890357828132e-05
2.440000000000000000e+02,1.638657116818241846e-02,4.508012107567317103e-05
2.450000000000000000e+02,2.857430755590895793e-02,6.179136636054254842e-05
2.460000000000000000e+02,2.507594468515676744e-02,5.944998964112862790e-05
2.470000000000000000e+02,4.497177457539178191e-02,8.145965771147987717e-05
2.480000000000000000e+02,1.450436615682890000e-02,4.157086221260386852e-05
2.490000000000000000e+02,2.487166139414409907e-02,5.699138335099988715e-05
2.500000000000000000e+02,2.141694493033115959e-02,5.447310256823139951e-05
2.510000000000000000e+02,3.790445543049834887e-02,7.461393604489399212e-05
2.520000000000000000e+02,1.780886774942154818e-02,5.041554458404509296e-05
2.530000000000000000e+02,3.159068291123770522e-02,6.963519555960555741e-05
2.540000000000000000e+02,2.816220354727283146e-02,6.740462523416909223e-05
2.550000000000000000e+02,5.129436612654663524e-02,9.298847395142778474e-05
2.560000000000000000e+02,1.333696722657233547e-02,9.034793880719345057e-05
2.570000000000000000e+02,2.248887755759805540e-02,1.207435561952522956e-04
2.580000000000000000e+02,1.918692148981243281e-02,1.146555943427355012e-04
2.590000000000000000e+02,3.338447196538746331e-02,1.534779830535175848e-04
2.600000000000000000e+02,1.540216799969971150e-02,1.034440688014557242e-04
2.610000000000000000e+02,2.671670867298543348e-02,1.403116311460678959e-04
2.620000000000000000e+02,2.347266106889396922e-02,1.338417141409183519e-04
2.630000000000000000e+02,4.195801789288222672e-02,1.822860127348180923e-04
2.640000000000000000e+02,1.338773434239625901e-02,9.503128152471675214e-05
2.650000000000000000e+02,2.269817906802892513e-02,1.266671903666951302e-04
2.660000000000000000e+02,1.963208703854680062e-02,1.230653726162542596e-04
2.670000000000000000e+02,3.445050935903191253e-02,1.640080550106465566e-04
2.680000000000000000e+02,1.623699776767194292e-02,1.122775333680454317e-04
2.690000000000000000e+02,2.839419483091682253e-02,1.518656127943948143e-04
2.700000000000000000e+02,2.525112861287593866e-02,1.462228569799578872e-04
2.710000000000000000e+02,4.554531927138567166e-02,1.986604420694228418e-04
2.720000000000000000e+02,1.256143583925813448e-02,8.844654901382527346e-05
2.730000000000000000e+02,2.115726036781072697e-02,1.183597444855033660e-04
2.740000000000000000e+02,1.817961377166956577e-02,1.130791139067508454e-04
2.750000000000000000e+02,3.165123520921171024e-02,1.516307024048321977e-04
2.760000000000000000e+02,1.467888650189340047e-02,1.025965061777522246e-04
2.770000000000000000e+02,2.552829933759570222e-02,1.387842465690187609e-04
2.780000000000000000e+02,2.254859472440928075e-02,1.330890236516340359e-04
2.790000000000000000e+02,4.027636333402246499e-02,1.810497440415051592e-04
