order,moduli,invariant_factors,lower_d,upper_d,dpm,Dpm,status,nodes,seconds,witness
48,3 2 2 2 2,2 2 2 6,5,5,5,6,forced+confirmed,97622,0.619,"[[0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 0]]"
48,4 3 2 2,2 2 12,5,5,5,6,forced+confirmed,35182,0.175,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0]]"
48,4 4 3,4 12,5,5,5,6,forced+confirmed,18860,0.085,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0]]"
48,8 3 2,2 24,5,5,5,6,forced+confirmed,17156,0.078,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
48,16 3,48,5,5,5,6,forced+confirmed,11138,0.053,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0]]"
49,7 7,7 7,4,5,5,6,gap:search-decided,8995,0.051,"[[0, 1], [1, 0], [1, 2], [1, 4], [3, 1]]"
49,49,49,5,5,5,6,forced+confirmed,9793,0.053,"[[1], [2], [4], [8], [16]]"
50,5 5 2,5 10,5,5,5,6,forced+confirmed,15162,0.089,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0]]"
50,25 2,50,5,5,5,6,forced+confirmed,14222,0.102,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0]]"
51,17 3,51,5,5,5,6,forced+confirmed,12142,0.079,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0]]"
52,13 2 2,2 26,5,5,5,6,forced+confirmed,26497,0.148,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
52,13 4,52,5,5,5,6,forced+confirmed,18142,0.104,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0]]"
53,53,53,5,5,5,6,forced+confirmed,15679,0.086,"[[1], [2], [4], [8], [16]]"
54,3 3 3 2,3 3 6,4,5,5,6,gap:search-decided,14562,0.092,"[[0, 0, 1, 0], [0, 1, 0, 1], [1, 0, 0, 1], [1, 1, 0, 1], [1, 2, 0, 1]]"
54,9 3 2,3 18,5,5,5,6,forced+confirmed,19665,0.11,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
54,27 2,54,5,5,5,6,forced+confirmed,21402,0.12,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0]]"
55,11 5,55,5,5,5,6,forced+confirmed,19874,0.111,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0]]"
56,7 2 2 2,2 2 14,5,5,5,6,forced+confirmed,75292,0.48,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0]]"
