n,minwit,argi,argj
900,2,1,4
901,1,1,17
902,1,1,132
903,2,1,3
904,1,1,8
905,1,1,5
906,2,1,2
907,1,1,2
908,1,1,4
909,1,1,9
910,2,1,10
911,1,1,2
912,1,1,171
913,1,1,11
914,1,1,2
915,1,1,15
916,1,1,4
917,1,1,7
918,2,1,2
919,1,1,2
920,1,1,280
921,1,1,3
922,1,1,2
923,1,1,13
924,2,1,28
925,1,1,25
926,1,1,2
927,1,1,9
928,1,1,29
929,1,1,2
930,2,1,30
931,1,1,19
932,1,1,4
933,1,1,3
934,1,1,2
935,1,1,55
936,1,1,416
937,1,1,2
938,1,1,392
939,1,1,3
940,1,1,40
941,1,1,2
942,1,1,6
943,1,1,23
944,1,1,16
945,1,1,135
946,1,1,176
947,1,1,2
948,2,1,3
949,1,1,13
950,1,1,38
951,1,1,3
952,1,1,56
953,1,1,2
954,1,1,144
955,1,1,5
956,1,1,4
957,1,1,66
958,1,1,2
959,1,1,7
960,1,1,30
961,1,1,2
962,2,1,2
963,1,1,9
964,1,1,4
965,1,1,5
966,2,1,21
967,1,1,2
968,1,1,8
969,1,1,51
970,1,1,10
971,1,1,2
972,1,1,4
973,1,1,7
974,1,1,2
975,2,1,3
976,1,1,16
977,1,1,2
978,1,3,489
979,1,1,11
980,1,1,80
981,1,1,9
982,1,1,2
983,1,1,2
984,1,1,246
985,1,1,5
986,1,1,408
987,1,1,252
988,1,1,76
989,1,1,23
990,2,1,10
991,1,1,2
992,1,1,31
993,1,1,3
994,1,1,98
995,1,1,5
996,1,1,249
997,1,1,2
998,1,1,2
999,1,1,27
1000,1,1,8
1001,1,1,143
1002,2,1,2
1003,1,1,17
1004,1,1,4
1005,2,1,3
1006,1,1,2
1007,1,1,19
1008,1,1,112
1009,1,1,2
1010,1,1,130
1011,1,1,3
1012,1,1,132
1013,1,1,2
1014,1,1,6
1015,2,1,5
1016,1,1,8
1017,1,1,9
1018,1,1,2
1019,1,1,2
1020,2,1,12
1021,1,1,2
1022,1,1,14
1023,1,1,33
1024,1,1,2
1025,1,1,25
1026,2,1,2
1027,1,1,13
1028,1,1,4
1029,1,1,3
1030,2,1,2
1031,1,1,2
1032,2,1,3
1033,1,1,2
1034,1,1,517
1035,2,1,5
1036,2,1,4
1037,1,1,17
1038,1,1,12
1039,1,1,2
1040,2,1,5
1041,1,1,3
1042,1,1,2
1043,1,1,7
1044,2,1,4
1045,1,1,165
1046,1,1,2
1047,1,1,3
1048,1,1,8
1049,1,1,2
1050,2,1,18
1051,1,1,2
1052,1,1,4
1053,1,1,13
1054,2,1,2
1055,1,1,5
1056,2,1,3
1057,1,1,7
1058,1,1,2
1059,1,1,3
1060,2,1,4
1061,1,1,2
1062,2,1,2
1063,1,1,2
1064,2,1,7
1065,1,1,255
1066,1,1,533
1067,1,1,11
1068,1,1,12
1069,1,1,2
1070,1,1,10
1071,1,1,357
1072,1,1,16
1073,1,1,29
1074,1,1,18
1075,1,1,25
