n,alpha,m,exists,witness
6,6/5,97,1,0143205412350421534025143052410325401234510243152034125043215402314520135421034512304153240513425
6,6/5,98,1,01423510243152041325401234510324153021450312405321043520134502315403214530241350423105432150341253
6,6/5,99,1,015324103521430254132045123054210352401534205132450123405213042510324150234512035421304523140251342
6,6/5,100,1,0132451023415204351240531425034120543215042351402534105243150234512043521405312450134205143250412354
6,6/5,101,1,01234051320415230142503124053214502315420351402531042350143205134250314523041253401524310254130521435
6,6/5,102,1,012340513204152301425031240532104351203415023140521304251032450134205314023510432501423054120345102435
6,6/5,103,1,0123405132041523014250312405321043512034150231405213042510324153021435204132540123504213054120345102435
6,6/5,104,1,01234051320415230142503124053210435120341502314052130425103241530214352041325014230512403521430254103245
6,6/5,105,1,012340513204152301425031240532104351203415023140521304251032415302143520413250142305412034521304253102435
6,6/5,106,1,0124503214053120451324015342105431250341523045120354210534125031420513402531042350124305142031540235104253
6,6/5,107,1,01325041230542103451204315240351423054120345210435124031520413250142351024531205413025140321543012534102354
6,6/5,108,1,013250412305142031524301253402135420153241035214305124031542301452034125304213502431052341503245130254103524
6,6/5,109,1,0123405132041523014250312405321043512034150231405213042510324153021435012345102431504213540231452013425103245
6,6/5,110,1,01234051320415230142503124530215432014523041532401352043150241305214350124531042351402534105231450324153021435
6,6/5,111,1,012540315243051420354102531405213450231540321453024135042153402514320541302453120435210342501324510234150321453
6,6/5,112,1,0143502415304251034520135421053412504315240351204531024350142305124031520435102345013240531420351243015423104532
6,6/5,113,1,01523410254312053421503245130254103524013250431205413024531042513402153041250342105324013520431502413052140351243
6,6/5,114,1,013245102341503214530125403152041350214305241032514023541203451024350123405213042510345201354021534205143250412354
6,6/5,115,1,0124351042315024135201432504123540132451023415032140531245013425103241530421354012534105231450213405123041520314253
6,6/5,116,1,01532410352143025413204531024350142530412354021534205132401523041250314205341023514032154301253402135420315243051234
6,6/5,117,1,014523104251302453120543210452314053241035420134502143052413504231540321453012435102341503245130254103524015342105432
6,6/5,118,1,0123405132041523014250312405321043512034150231405213042510324153021435012345102431520413250142305412034521304253102435
6,6/5,119,1,01324510234150321405312043510245301423504125340215432051342501435204132540315243051423501245310254301523410532145031254
6,6/5,120,1,012340513204152301425031240532104351203415023140521304251032415302143501234510243150421305241032540135204315024130521435
6,6/5,121,1,0123405132041523014250312405321043512034150231405213042510324153021435012345102431520413254012350421530245103254130521435
6,6/5,122,1,01342051432504135240312543021534012354103251402315043210542301453204135021430524103542015340213504231540325104352140531245
6,6/5,123,1,012340513204531240351423015432105341250314205132401534210354123045213402514305241035421304523140532104351203452130425103245
6,6/5,124,1,0123405132041523014250312405321043512034150231405213042510324153021435012345102431504213052410325140235412034521304253102435
6,6/5,125,1,01523410532140351243052134025314205132450123540213452014350241305421034512043150234105324013542031452304125034210543120451324
6,6/5,126,1,012340513204152301425031240532104351203415023140521304251032415302143501234051324503125401352041532405123450214352013425103245
6,6/5,127,1,0132405314203512430152340513204153021435012345102431504213054123501425304152034510235401253410523145032154023514203152430512345
6,6/5,128,1,01234051320453102541305243150421354012345103241502314520134250312405321045230142531024513042153402514305241032540135204153021435
6,6/5,129,1,012534021354203145023415204351240532145031254302153420514325041352403154201345210354120531402351042530124503142053410235140321543
6,6/5,130,1,0123405132041523014250312405321043512034150231405213042510324153021435012340513245031254302145320154230512403521043251402354103245
6,6/5,131,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132450312540135241053420154321045312403521430254103245
6,6/5,132,1,014325103452130542315043210534201543025140321504231054320145230412503142051324501235410325143052134025314203541230451320543125041352
6,6/5,133,1,0145203154023510425314052130451203415023145201342503124051320415230142531024350123405213042510324150231405321045230154320514235041253
6,6/5,134,1,01234051320415230142503124053210435201345021430524103542130451203415023140532104523014253102435120453210542315043251402354120345102435
6,6/5,135,1,013542103451230541325014352041532405134201543021453204152340513245012354021530412503145201342510324153042135024315203412504321540231452
6,6/5,136,1,0134520315423014532041523405124350213452014325103421504312053410235142031540213450124351023415032145302413520431254013245102354120531425
6,6/5,137,1,01345203154230145320413502143051234015243102534120351402315042130524103251430215340123504132054310245130425314023541203452104351240531425
6,6/5,138,1,012530421350241532045130254103245012354021530412503142053410235401325043152403512045310254301523405124350142531024513204153021450324105234
6,6/5,139,1,0123405132041523014250312405321043512034150231405213042510324153021435012340513204531024351203415230451320543125041352401532045130254103245
6,6/5,140,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301453210543125041352401532045130254103245
6,6/5,141,1,014532105431250413205142301524310542130452314025341205431024530142350413254031520435102345013240531425034120543102534015230412503421530241352
6,6/5,142,1,0132450314253012435021340512304153240135420314502341053214035241302514320154230512435021453204152340125304215032451023541205314250341520431254
6,6/5,143,1,01345203154021350412305142035410234501243052134025143201534210352401325041235402153042513405231045320154230512435021453012540315204351240531425
6,6/5,144,1,014230512403154201352410532145031240513420153241035214302541320451234052130425103241502314053210435120341523014253104521305412034510243152041325
6,6/5,145,1,0123450214305241032540135204312503415230142531024350123405132041530214503124053210435120341502314052130425310243501423054132504315203412530421354
6,6/5,146,1,01234051320415230142531045213405123041532014350241305214032541023514203152430125403215042310524130251403521043250134205314023541203452130425103245
6,6/5,147,1,013452104325140231504213540123450214352041532401354210345201435024153204513025410352140531245032154302514035210453120543215034251043521405324103542
6,6/5,148,1,0123405132041523014250312405321043512034150231405213042510324153021435012340513204531024351203415230142531045213402514320153421054312045130254103245
6,6/5,149,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301425310452130542315043210534125031452013425103245
6,6/5,150,1,012340513204152301425031240532104351203415023140521304251032415302143501234051324503125401352041530245103254130521403512430154231045213054120345102435
6,6/5,151,1,0143205413025140352104531240513204152301425310243501234052130425103241502345120354213052431504235102453014250341523045132405314203541023451204352103425
6,6/5,152,1,01452310425301243502134520315423014532041352401534210354120531402513045210342501324053142035412305143250134205312403514230154321053412503142051340215432
6,6/5,153,1,015342051324503142530124351023415032145302413504215340251430524103254012345102431504235140253412054321045230142503124051320453102435012340521430254103524
6,6/5,154,1,0135421034512043521403251042315402134520314253041235401324510234152043125403215042310524301542031452304153240135204315024130521435012453102543015234105324
6,6/5,155,1,01524031250432105341203542130452310543201453024150321405312450134251043215402314503241530421350243152034125301452310543215042351403254130521435012453102543
6,6/5,156,1,012430521403251042315402134501235410253140521304251032415023145201354210534125043215403124530142350412534015243051420315402135042310524301253402154320514235
6,6/5,157,1,0125341023514203152401354210534120351423054132504315203451024350123405214302541032450134251043520145321054312504135240315423051243502134052314503241530421354
6,6/5,158,1,01523410532140351204315023451032415302143501234051320415230142503124053210435120341502314052130425103241530214503124051342015432105341203514230541320453102543
6,6/5,159,1,012340513204152301425031240532104351203415023140521304251032415302143501234051320453102435120341523014250312453021435204132501423054120345213042531402354103245
6,6/5,160,1,0153402514305241032540135204312503421054320145302415032140531245013420514302541035240153204512340521304253102435120453214052341025431205342150324105231450213542
6,6/5,161,1,01342051432504123054210345120431502341052430154203145021354012345103254130245312054321503412530142350413205143021534012354102531405213045123401532410352140531245
6,6/5,162,1,012340513204152301425031240532104351203415023140521304251032415302143501234051320453102435120341523014250312453021435201342510432154023514205312403521430254103245
6,6/5,163,1,0125430214532041350243152034512305421035240132541023450124351042315024130521435012453104251302415320143502134051230415203142501345210432514023541205342150324105234
6,6/5,164,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301425031245302143520134251043215403125041352401532045130254103245
6,6/5,165,1,012340513204152301425310243512034150231405213042510345201354023145032154302514035210453201435024153042135402315043210542301453204135024315203412504321540312453021435
6,6/5,166,1,0124305142031524013250412305421034512043150234105243012534021350412305142031540235104253012435021340512304153240135421053412035142301524031250413205143021540325104235
6,6/5,167,1,01243510234501325410352140532415034251043520134502314052130425103452014325041235402134501243052140325410235142031524013250431205342150324105231450213405123041520314253
6,6/5,168,1,012340521304251032415023145203412504315240132541023450124305142031540213504123054210345120431502341052430125340213504231054320145230412503421530245132041523014253102435
6,6/5,169,1,0134251032450123405132041523014532105431250413205143021534201352403154230512435014253041235401324503125430152340513204531024350123451032541302453104251340215304125031452
6,6/5,170,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301425031245302143520134251032415023451203541025314205134021530425103245
6,6/5,171,1,015243051234502143520415324013542031452304125034210543201453024150321405312043510245301254310523415032451302541035240153204135024310542301452034150231405213045120354102534
6,6/5,172,1,0123405132041523014250312405321043512034150231405213042510324153021435012340513204531024351203415230142503124530214352013425103241502314053210452301543205134021530425103245
6,6/5,173,1,01524035120453210542315043251402354120345102431520413254012350421305241032514302154031250413205142301524310542130451203415230142531045213054120345102354013245031420534102543
6,6/5,174,1,012450321540235104325013452103541230451320543125034215302413520143250412354021345012430514235041253014523105432150341205314250132405123045213402514320154231045321405234102543
6,6/5,175,1,0154203145021340523104251302415034210543201534025143052410354213045123405214350124531025413205142301543210534125031452013425103241502345120435214032510423501432051340253104523
6,6/5,176,1,01324051234502135401253041523405132045310254130521435012345103241530214503124051342501432054130251403521043250134520314253041235402153420513245031254301523405124350213452031425
6,6/5,177,1,012340513204152301425031240532104351203415023140521304251032415302143501234051320453102435120341523014250312453021435201342510324150231405213450123540215304251340521430254103245
6,6/5,178,1,0123405132041523014250312405321043512034150231405213042510324153021435012340513204531024351203415230142503124530214352013425103241502314052130451203541025314205134021530425103245
6,6/5,179,1,01453024150321405234102543120451324053142035412305143250134521035420153402513042150341253014520315402134501235410325143021534012543105241350214532041523014253102451320543125041352
6,6/5,180,1,013450231405213042510345201354021534205132401523041250314520134251043521403254102351420315402135041253401524310254132045312403521043250134205314025130452310543201453021540325104352
6,6/5,181,1,0152403125043215402314520134251032415304213502431054230145203154021345012354102531405213042510324150231452013425031240513204152301425310243501234052143025134205312450321405234102543
6,6/5,182,1,01435210342513024150321453012543105234150243510423154021350412305421035241302543120451324015230412503142051340253104235140325413052143501234510243152034125304213502415320451230541325
6,6/5,183,1,015324051342501435210453124035142301524310542135041253014235102453120541302514320153421035241305423104521340512304152031425301243502145320154302513405214350123451024315042130524103542
6,6/5,184,1,0123405132041523014250312405321043512034150231405213042510324153021435012340513204531024351203415230142503124530214352013425103241502314052130451234015243105421350241532045130254103245
6,6/5,185,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301425031245302143520134251032415023140521304253102435014230512403521043251402354103245
6,6/5,186,1,013420514302154031245301423510243152034125304215032451302543120453210542315043251403524130542103451230415320145231054213045120341523014253102451320415302145032410534215043251402354103245
6,6/5,187,1,0123405214302541320453102435120341502314052130425103241530214350123405132041523014250312405321043512034150243105234012530415203142501324051230452103542015340251304215034120531402354103245
6,6/5,188,1,01325043152034125301452310425134021530412350142531024351204532105423014520315402134501235410253140521304251032415023145201342503124051320415230142531024350123405214302541320451230542103524
6,6/5,189,1,012340513204152301425031240532104351203415023140521304251032415302143501234051320453102435120341523014250312453021435201342510324150231405213042531024350123451032541305214350241530425103245
6,6/5,190,1,0143521034251302415032145301254310245130421503241053420154302514032150423105432014530241503425104321540231450324105234012530415203142501324051230452103542015340213504125301423510243152041325
6,6/5,191,1,01523045132405314203512430154231045321405234150324510235412053142503415230145321043512403154201352410532145023154032510423501243052134025310452301543205142350413254031245301425034120543102534
6,6/5,192,1,013520431502345103241530421354012534105231450213405123041532401354210345201435024130542315043210534201352403125430152340512435014230541325043152034512304153201435210453124051320415302145031254
6,6/5,193,1,0123405132041523014250312405321043512034150231405213042510324153021435012340513204531024351203415230142503124530214352013425103241502314052130425310243501423054132045312403521043251402354103245
6,6/5,194,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301425031245302143520134251032415023140521304253102435014230541203452104325013420531402354103245
6,6/5,195,1,012340513204152301425031240532104351203415023140521304251032415302143501234051320453102435120341523014250312453021435201342510324150231405213042531024350123451032541305214350241532045130254103245
6,6/5,196,1,0124350213405123041520314250132405312043510234501243051420315240132504123054210345120431502341052430125340213504123051420315402351042530124350214532015430251342053124501325403152043510234150321453
6,6/5,197,1,01523045120341502314052134501235402153041250314523015432051340253142035124301523405132041530214503241052314025130421534012354103251430215403124530142503415204312540135241032514023150421305243102534
6,6/5,198,1,015420351243052134025314205132401523410532140351204531025413205143021534201354023150432510342153024135204312503415230451320541235014325103452130425310243501423054120351402531042350143205134250314523
6,6/5,199,1,0123405132041523014250312405321043512034150231405213042510324153021435012340513204531024351203415230142503124530214352013425103241502314052130425310243501234510325413052431504213540231452013425103245
6,6/5,200,1,01243502145320154230512403152041325014352103451204315024135201453210543125041320514302541032450123540213452014325104231502413520431254032150423105243012534021543201453024150342105431204532140523104253
6,6/5,201,1,014523105432015340213542031524013250431205341023514032150423105241302514320153421035412053140235104253012435021340512304152031425013240531204351023415032140523104251302453120541325014235102431520341253
6,6/5,202,1,0123405132041523014250312405321043512034150231405213042510324153021435012340513204531024351203415230142503124530214352013425103241502314052130425310243501234510325413024531042350143205134021530425103245
6,6/5,203,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301425031245302143520134251032415304213540125341052431502345103254012350413205431024513042531402354103245
6,6/5,204,1,012354102531405234150243105423015240312504321540235104253140521345023154032145301243502134520143251042350124305142035410234501324051230415203142501345210354120531402351043215403124530142350413205143021534
6,6/5,205,1,0152431054230145321043512403154201352410532140351204315240132541035214302513405231450324153042510345213054123504215302451034250143520413254031245301425034120531402513420153240512304521035420134502143051234
6,6/5,206,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301425031245302143520134251032415023140521304253102435012345103254013520431250342105324150231452013425103245
6,6/5,207,1,012340513204152301425031240532104351203415023140521304251032415302143501234051320453102435120341523014250312453021435201342510324150231405213042531024350123405132450312543015240351420534125031452013425103245
6,6/5,208,1,0143250412305421350241530425103452130542310453201435210345123054132045312403521430512345013240531420354123045213402514320541302453104235140253412054321503425104352013450231542035124301523405132450123540213452
6,6/5,209,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301425031245302143520134251032415023140521304253102435012340513245031254013520415302451034215043251402354103245
6,6/5,210,1,014250312453021435012340513204152301453210435124031542305143250412354021530425103452014350213405123041520314250132405312043510234150321405231042513024153201435021345203142530124351042315403251430521340253104523
6,6/5,211,1,0135241053420154321045230142531024351204532105423014520341502431052340153204512305413250142351043215402314520134250312405321045231402534120543215034251302415320145230412534015243102541305214035120431502345103254
6,6/5,212,1,01235041320514230152403125043210534120351402315042130524103251430215340123504132054310245130421503241052314025134201532405123041520345102354013245031425301243502134051230452103542013450214305241350421530245103254
6,6/5,213,1,012340521430254103524015320413502431520345102354120531425034152301453204135240315423051243502134520143251034215043125401324503142053412504315240351204532140523104253012450321543025134205312403514230541320453102435
6,6/5,214,1,0123450214352013425104321503412053142501345210435124053214502341520431254013245031420513402531045230142503124530214352013425103241502314052130425310243501234051324503125401352410532145023415204351024530142350413254
6,6/5,215,1,01453021540325143052134025314203512430152340513204153024510325413052431025340123504132051423015240351204531025413052140325104231540213450123541025340152304125031420513240153421054312045130254103245013420514325041352
6,6/5,216,1,015324103542013450231405213042510345201354021530412350142531024351203415023140521345012354021534201352403125041320514230152431025340123504215302413520143250412305142031524013254102345012435104231540321453012543105234
6,6/5,217,1,0152430512345021354012534102351403215430124503142051324015342103524130542310453201543021450324153042510345201435021340512430154203514025310452130541235014253041520314502341052430125340213542015324051342503145230412534
6,6/5,218,1,01235042153024135204315023451203542130524103254012350413205142301524310542130452314053210435120341502314520134251032450123541025340152430512345021435204132501423054120345213042531402354103251430215403125041320543102534
6,6/5,219,1,013425031245302143501234510325413024531042351402534120543215042310524301254031520413250143521034251304523140532104352013450214305123401532041352403125043215402351420534125031452013542105324015234102543012450321540231452
6,6/5,220,1,0135402153420514302541320453124035210432501345203142530415234012543105241350421534025143205413024510325401235042130541203514230152403125430215340123504132054312503415204351024531205413025140352104532014350241530425103452
6,6/5,221,1,01245302154320514230152403512045321405231042513024153201435021340512304152031425013240531204351023415032145301243502134052310425130245312043521034250132405123045213402514320154230512435014253041523405132045310254130521435
6,6/5,222,1,012340513204152301425031240532104351203415023140521304251032415302143501234051320453102435120341523014250312453021435201342510324150231405213042531024350123405132450312540135204153024513205431250413524015342051430254103245
6,6/5,223,1,0135402153041250314523015420351240532104523140253410524301254032145302413520431250342153041235014320513425031245301423504132054310245130421534012543021450312405132041530245103425014320513402531045213054120351423015432105342
6,6/5,224,1,01432504123540132451034215304125031420513240152341025431204532140352413025143201534210354120531402513042153401254310524130251403521043250142351024315203412504321054230145320413502143052410354201534025143205412350421530241352
6,6/5,225,1,012340513204152301425031240532104351203415023140521304251032415302143501234051320453102435120341523014250312453021435201342510324150231405213042531024350123405132450312540135204153024513205431250342105324150231452013425103245
6,6/5,226,1,0132405312043521034251304523140532104351240315420134502143051234015243102534120351402315042130524103251430215340123504132051423015240312504321053412035140253104235012430514203152401325041230542103451204315024130521403254102345
6,6/5,227,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301425031245302143520134251032415023140521304253102435012340513204153021450324105231402513420531240352104532014350241530425103245
6,6/5,228,1,012340513204152301425031240532104351203415023140521304251032415302143501234051320453102435120341523014250312453021435201342510324150231405213042531024350123405132041530214503241052314025130421503412054321045312403521430254103245
6,6/5,229,1,0123405132041523014250312405321043512034150231405213042510324153021435012340513204531024351203415230142503124530214352013425103241502314052130425310243501234051320415302145032410523140251304215340123541025314205134021530425103245
6,6/5,230,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301425031245302143520134251032415023140521304253102435012340513204153021450324105231402513042150341205314250134521043251402354103245
6,6/5,231,1,013542103452014325041352403154230514320153402513042150324105231450213542031524305123401532045130254103521405324150231452013425031245301423504132051430215403251043521405312450134205143250412305421350241532014352104531205413250431524
6,6/5,232,1,0123405132041523014250312405321043512034150231405213042510324153021435012340513204531024351203415230142503124530214352013425103241502314052130425310243501234051320415302145032410523140251304215034125301423510432501342051430254103245
6,6/5,233,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301425031245302143520134251032415023140521304253102435012340513204153021450324105231402513042150341205431025340123504132051430254103245
6,6/5,234,1,013540231504325140352413054210345120431524013542031450213405124301542310524130251432015340213504125301452034150243105234012530421503412053140235104253012435021340512304152031425013240531204352140325410234512035421053240152304125031452
6,6/5,235,1,0143205413025140352410534201354021530425134052143025410324501234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301425031245302143520134251032415023140521304253102451320415302145031240513425
6,6/5,236,1,01425310452130542315024351203415230145320413524015342103541205314025134201543210452301425031240532145023154203514025341205432104531240513425031452013540215304123501425310245130421503412053142501345210354201532410523145021354012345102435
6,6/5,237,1,012340513245031425301243510234152031450213405123041532014350241305421034512043150234105243012534021350412305142031524013250431205341023514032150423105241302514320153402135041253014235102431504213052410325401352041532405134250312453021435
6,6/5,238,1,0124530215432014523104253012435102345013240512304521035420134502314053210435201453024135042315403214502341052431504213540125341023514203152401325410352140531245013425103241530214503125401352041532405134250143205413024531204352140325104235
6,6/5,239,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301425031245302143520134251032415023140521304253102435012340513204153021450312405321043520145302154032514305241035420134521043251402354103245
6,6/5,240,1,015342103541230514320154231045321405234150324513025431052413504231540321453024150342513045231402534120543215042351024531204352103425130241503214530125431052413504215302451032540123504132054312503421530412350143251042315024351203415230451324
6,6/5,241,1,0134521043512403154230514325041235402153042513405231450324105342150431254013245102341503214053124501325403152430125340213504231054320145230415324051234501325410235142053124035210432501423054132045123405214302513420153240512345021430524103542
6,6/5,242,1,01423054120351402534105243150234512043521403251042350143205134025310452301542035140231504213540125341023514205312450132541035214053241502345103254130245310423501243051420354123045213402531420513240153421054312045130241503214530125403152041325
6,6/5,243,1,012340513204152301425031240532104351203415023140521304251032415302143501234051320453102435120341523014250312453021435201342510324150231405213042531024350123405132041530245103254012345021354201532405123041520314250132451034215043251402354103245
6,6/5,244,1,0153241035214305124031520435102345013254031245301423510432154023145203412530421354012345021435201342503145230154203512430521345012354021534201352410532145023415204351024530125431052341503245102354120531425034152304512035421305243102541320451234
6,6/5,245,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301425031245302143520134251043215034120531425013452031542301453204152340513245031254302153420135240315423051432504123540215304251340521430254103245
6,6/5,246,1,012540321504312054130251403524105321450312543021534012350413254031245302154320514235012430521345023154203514025310452134051243015234102543120453214035241053420135402153042513405231045320143521034512304152031450213542015340251304215034120543102453
6,6/5,247,1,0123504132054312503421053240152304512034150231405213042510324153021435012340513204531024351203415230142503124530214352013425103241502314052130425310243501234051320415302145031240532104352013450214305124031520413250142305412035140231542013524103254
6,6/5,248,1,01235041320514230154321053412504315203451230542135024153042513405231450213542031524301254032150423510245312043521034512305413250431524035120453210543125041352014530241503214052341025430152403514205312450134251043215402314520135421053241502345103254
6,6/5,249,1,012340513204152301425031240532104351203415023140521304251032415302143501234051320453102435120341523014250312453021435201342510324150231405213042531024350123405132041530214503124053210435201345021430512340152431025341203542105324150231452013425103245
6,6/5,250,1,0152304125034210543120451302415032145301243502134051230452103541205342150431254013524103251430215403124501342510432150341253014235102431520345123054210352401325410234512035421305241032540135204315023451032415302145031240513204531025430124503142051324
6,6/5,251,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301425031245302143520134251032415023140521304253102435012340513204153021450312405321043512034521304251032415023451204315240351420534125031452013425103245
6,6/5,252,1,012450314205132401523041250342105324150231405213042510324501234051320415230142503124053210435120341502314520134251043215034120531402351042530124350213452014325103421530412503142053410235140321504312540132451023541203452104325140352413054231502435104253
6,6/5,253,1,0145203154023510425314052134501235402153420513240152304125031420534102351403215042310524130251432015340213504123051420315240132504312053410235401253041520314250132405123045210342513024150321405231042530124350213405123041520345102354012530421350243105423
6,6/5,254,1,01253410523145021340512304152031425013245102354012530421503241052314025130452103425013240512304152034510235401325041230514203152430125403214530241503421054320145231042530124350214532041523014253104521340512435014230541325043152403514205312450132540315243
6,6/5,255,1,012340513204152301425031240532104351203415023140521304251032415302143501234051320453102435120341523014250312453021435201342510432150341205314023510425301243502134051230415203142501324053120435102341503214052310425134021543205142350124530214352013425103245
6,6/5,256,1,0152304512035410253142051324501234052143502415304213540231450321543012453102541305214032510423150241352014325041230514203152401325410234501243052140351204315023410524301253402135041230514203541023450132540312453014235104321540231452034150243105421350412534
6,6/5,257,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301425031245302143520134251032415023140521304253102435012340513204152301453210435120341502314053241035214302513405231042530124351023450132405312045130254103245
6,6/5,258,1,014320513402154301245310425130241503421054320145230415324051342015430214503241053421504325103452130425314023541032450134205143250412305421034520143502415320451234015243102541305214032510423154021345012435102341520314502134051243015234105321450231540325104235
6,6/5,259,1,0123405213042531024350142305413250431205341023514203152430512340153241035420134502314053210435120341502431054213045123405214350241532045130254310524135042153402513045231054213504125340215430124503142053410235401325041230514203541025340123504132051430254103245
6,6/5,260,1,01234051320415230142503124053210435120341502314052130425103241530214350123405132045310243512034152301425031245302143520134251032415023140521304253102435012340513204152301453210435120341502314053241035420134502143520415324013542105341250314205134021530425103245
